Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Nepal SBI Bank Debenture 2086,1,1011.00,1011.00,1011.00,100.00,101100.00,1031.00,-20.00 
10% Prabhu Bank Debenture 2084 ,1,1020.00,1020.00,1020.00,25.00,25500.00,1026.00,-6.00 
11% NIC Asia Debenture 082/83,3,1132.00,1130.00,1132.00,75.00,84825.00,1110.00,22.00 
Agriculture Development Bank Limited,582,541.00,516.00,530.00,151300.00,80158031.00,541.00,-11.00 
Ajod Insurance Limited,669,704.00,680.00,685.00,39130.00,26953730.00,691.00,-6.00 
Ankhu Khola Jalvidhyut Company Ltd,270,154.00,144.00,146.00,19751.00,2908812.00,151.00,-5.00 
Api Power Company Ltd.,431,278.00,254.00,261.00,143738.00,37685174.00,265.00,-4.00 
Arun Kabeli Power Ltd.,407,285.00,268.00,274.00,170780.00,46653209.00,278.00,-4.00 
Arun Valley Hydropower Development Co. Ltd.,362,264.00,246.00,251.00,116511.00,29431254.00,252.00,-1.00 
Asha Laghubitta Bittiya Sanstha Ltd,164,917.00,880.00,889.00,10333.00,9258301.00,890.00,-1.00 
Asian Life Insurance Co. Limited,280,896.00,868.00,878.00,67359.00,59227107.00,886.00,-8.00 
Bank of Kathmandu Ltd.,494,276.00,265.00,265.00,130179.00,35052367.00,272.00,-7.00 
Barun Hydropower Co. Ltd.,109,216.00,203.00,205.00,17532.00,3621309.00,213.00,-8.00 
Best Finance Company Ltd.,55,141.00,138.00,140.00,18601.00,2592317.00,142.00,-2.00 
Bishal Bazar Company Limited,79,3500.00,3118.00,3118.00,2389.00,7829790.00,3240.00,-122.00 
Bottlers Nepal (Terai) Limited,62,9500.00,8820.00,8820.00,882.00,7968974.00,9316.00,-496.00 
Butwal Power Company Limited,523,463.00,445.00,445.00,105227.00,47488520.00,450.00,-5.00 
Central Finance Co. Ltd.,59,170.00,167.00,167.00,12036.00,2023407.00,170.00,-3.00 
Century Commercial Bank Ltd.,767,228.00,213.00,215.00,274509.00,59487151.00,220.00,-5.00 
Century Commercial Bank Ltd. Promoter Share,2,112.00,112.00,112.00,95238.00,10666656.00,112.00,0.00 
Chhimek Laghubitta Bikas Bank Limited,337,1382.00,1291.00,1320.00,40838.00,53984979.00,1288.00,32.00 
Chhyangdi Hydropower Ltd.,91,176.00,162.00,163.00,7823.00,1307345.00,167.00,-4.00 
Chilime Hydropower Company Limited,863,640.00,606.00,609.00,190152.00,116927118.00,620.00,-11.00 
Citizen Bank International Limited,720,260.00,244.00,249.00,229726.00,57281091.00,257.00,-8.00 
Citizen Investment Trust,261,4870.00,4750.00,4770.00,13570.00,65003101.00,4817.00,-47.00 
Citizens Mutual Fund -1,22,10.20,10.00,10.14,231500.00,2318687.00,10.14,0.00 
CITIZENS MUTUAL FUND 2,22,10.10,9.95,10.05,14850.00,148511.00,10.00,0.05 
Civil Bank Ltd,555,197.00,181.00,186.00,207305.00,39010974.00,189.00,-3.00 
Civil Laghubitta Bittiya Sanstha Ltd.,126,720.00,701.00,707.00,8403.00,5957268.00,717.00,-10.00 
Corporate Development Bank Limited,20,219.00,215.00,217.00,4670.00,1009010.00,220.00,-3.00 
Deprosc Laghubitta Bittiya Sanstha Limited,377,1241.00,1200.00,1219.00,49497.00,60505504.00,1210.00,9.00 
Dibyashwori Hydropower Ltd.,102,131.00,121.00,122.00,15531.00,1901123.00,125.00,-3.00 
Everest Bank Limited,465,724.00,703.00,705.00,71533.00,50882912.00,726.00,-21.00 
Everest Insurance Co. Ltd.,152,576.00,565.00,565.00,27274.00,15514883.00,574.00,-9.00 
Everest Insurance Co. Ltd. Promoter Share,28,303.00,273.00,275.00,3545.00,1016165.00,303.00,-28.00 
Excel Development Bank Ltd.,41,370.00,361.00,367.00,9406.00,3432800.00,375.00,-8.00 
First Micro Finance Development Bank Ltd.,140,604.00,586.00,588.00,29883.00,17729446.00,594.00,-6.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,118,2000.00,1950.00,1990.00,5503.00,10866557.00,2010.00,-20.00 
Ganapati Microfinance Bittiya Sanstha Limited,67,869.00,850.00,860.00,1214.00,1046846.00,853.00,7.00 
