Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Garima Bikas Bank Limited,325,292.00,268.00,271.00,76655.00,20929233.00,279.00,-8.00 
General Insurance Company Nepal Ltd,833,604.00,590.00,598.00,29489.00,17638928.00,606.00,-8.00 
Ghalemdi Hydro Limited,121,133.00,129.00,129.00,12020.00,1570675.00,133.00,-4.00 
Global IME Bank Limited,1841,369.00,339.00,349.00,379380.00,134012202.00,360.00,-11.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,63,1403.00,1370.00,1390.00,4358.00,6051448.00,1361.00,29.00 
Global IME Samunnat Scheme-1,26,11.35,11.04,11.35,257541.00,2886983.30,11.25,0.10 
Goodwill Finance Co. Ltd.,49,221.00,209.00,215.00,8586.00,1874635.00,220.00,-5.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,314,640.00,615.00,620.00,74338.00,46265527.00,629.00,-9.00 
Green Development Bank Ltd.,224,192.00,167.00,167.00,28302.00,4933015.00,181.00,-14.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,20,207.00,196.00,204.00,4870.00,999370.00,207.00,-3.00 
Gurans Laghubitta Bittiya Sanstha Limited,44,786.00,760.00,778.00,1698.00,1309228.00,778.00,0.00 
Gurans Life Insurance Company Ltd.,271,633.00,609.00,615.00,49770.00,30658960.00,624.00,-9.00 
Gurkhas Finance Ltd.,79,215.00,200.00,200.00,18155.00,3673522.00,205.00,-5.00 
Himal Dolakha Hydropower Company Limited,297,157.00,147.00,149.00,97118.00,14627262.00,154.00,-5.00 
Himalaya Urja Bikas Company Limited,147,228.00,220.00,222.00,5940.00,1334420.00,228.00,-6.00 
Himalayan Bank Limited,517,749.00,708.00,716.00,61991.00,44934563.00,728.00,-12.00 
Himalayan Distillery Limited,417,3810.00,3651.00,3700.00,36458.00,135877563.00,3771.00,-71.00 
Himalayan General Insurance Co. Ltd,233,693.00,664.00,675.00,65503.00,44178840.00,680.00,-5.00 
Himalayan Power Partner Ltd.,338,248.00,233.00,246.00,34754.00,8372372.00,240.00,6.00 
Hydorelectricity Investment and Development Company Ltd,635,298.00,283.00,286.00,188311.00,54266051.00,289.00,-3.00 
ICFC Finance Limited,97,300.00,292.00,293.00,25813.00,7628267.00,296.00,-3.00 
IME General Insurance Ltd.,283,614.00,576.00,610.00,67118.00,40277718.00,581.00,29.00 
Infinity Laghubitta Bittiya Sanstha Limited,154,979.00,922.00,950.00,5513.00,5190068.00,960.00,-10.00 
Janaki Finance Ltd.,95,258.00,242.00,245.00,27222.00,6792861.00,249.00,-4.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,32,1606.00,1556.00,1560.00,2040.00,3203436.00,1575.00,-15.00 
Joshi Hydropower Development Company Ltd,183,127.00,124.00,126.00,10059.00,1260605.00,126.00,0.00 
Jyoti Bikas Bank Limited,498,234.00,219.00,224.00,133763.00,29906854.00,228.00,-4.00 
Kalika Microcredit Development Bank Ltd.,115,770.00,755.00,769.00,5197.00,3969446.00,768.00,1.00 
Kalika power Company Ltd,320,240.00,218.00,232.00,22296.00,5064363.00,225.00,7.00 
Kamana Sewa Bikas Bank Limited,228,242.00,228.00,229.00,58199.00,13440970.00,235.00,-6.00 
Karnali Development Bank Limited,75,153.00,147.00,150.00,15903.00,2382434.00,150.00,0.00 
Khanikhola Hydropower Co. Ltd.,118,124.00,121.00,122.00,4542.00,555181.00,125.00,-3.00 
Kisan Lagubitta Bittiya Sanstha Limited,39,1093.00,1043.00,1043.00,2648.00,2811913.00,1072.00,-29.00 
Kumari Bank Limited,1182,275.00,254.00,257.00,423840.00,109792944.00,269.00,-12.00 
Laxmi Bank Limited,350,300.00,281.00,287.00,133450.00,38652536.00,295.00,-8.00 
Laxmi Equity Fund,15,10.04,9.69,9.70,35414.00,348116.56,9.85,-0.15 
Laxmi Laghubitta Bittiya Sanstha Ltd.,37,1320.00,1275.00,1320.00,1757.00,2291563.00,1325.00,-5.00 
Laxmi Unnati Kosh,20,9.75,9.53,9.55,20850.00,200632.00,9.72,-0.17 
Liberty Energy Company Limited,484,223.00,209.00,216.00,26536.00,5696759.00,215.00,1.00 
Life Insurance Co. Nepal,243,1880.00,1805.00,1860.00,44011.00,80873055.00,1839.00,21.00 
Lumbini Bikas Bank Ltd.,255,241.00,224.00,232.00,45217.00,10575082.00,234.00,-2.00 
Lumbini General Insurance Co. Ltd.,258,637.00,615.00,619.00,88271.00,55186035.00,626.00,-7.00 
Lumbini General Insurance Co. Ltd. Promoter Share,1,331.00,331.00,331.00,72709.00,24066679.00,331.00,0.00 
Machhapuchhre Bank Limited,359,270.00,250.00,251.00,94780.00,24007876.00,258.00,-7.00 
Mahalaxmi Bikas Bank Ltd.,156,262.00,249.00,253.00,41791.00,10643671.00,258.00,-5.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,43,880.00,833.00,836.00,3152.00,2691588.00,849.00,-13.00 
Manjushree Finance Ltd.,118,390.00,378.00,387.00,44870.00,17103897.00,380.00,7.00 
Mega  Bank Nepal Ltd.,1085,289.00,270.00,277.00,306948.00,84964760.00,285.00,-8.00 
Mega  Bank Nepal Ltd. Promoter Share,1,126.00,126.00,126.00,24449.00,3080574.00,126.00,0.00 
Mero Microfinance Bittiya Sanstha Ltd.,202,842.00,812.00,826.00,22744.00,18931809.00,823.00,3.00 
Mirmire Microfinance Development Bank Ltd.,77,969.00,916.00,916.00,9482.00,8830060.00,938.00,-22.00 
Miteri Development Bank Limited,94,425.00,408.00,412.00,18345.00,7580225.00,425.00,-13.00 
Mithila LaghuBitta Bittiya Sanstha Limited,46,1038.00,1002.00,1030.00,4146.00,4236806.00,1030.00,0.00 
Mountain Hydro Nepal Limited,148,225.00,208.00,219.00,10790.00,2322410.00,215.00,4.00 
Muktinath Bikas Bank Ltd.,478,445.00,405.00,414.00,78914.00,32780055.00,424.00,-10.00 
Multipurpose Finance Company  Limited,40,173.00,161.00,167.00,8147.00,1326015.00,176.00,-9.00 
NABIL BALANCED FUND-2,15,10.00,9.81,9.86,17400.00,172282.50,10.20,-0.34 
Nabil Bank Limited,1491,1165.00,1115.00,1119.00,177245.00,201194660.00,1159.00,-40.00 
Nabil Equity Fund,58,10.10,9.84,10.00,84700.00,844359.30,10.01,-0.01 
Nadep Laghubittiya bittya Sanstha Ltd.,191,906.00,885.00,896.00,26425.00,23692752.00,900.00,-4.00 
National Hydro Power Company Limited,279,135.00,129.00,130.00,153237.00,20022862.00,133.00,-3.00 
National Life Insurance Co. Ltd.,525,1051.00,999.00,1044.00,151161.00,154701253.00,1022.00,22.00 
National Microfinance Bittiya Sanstha Ltd.,56,1915.00,1877.00,1900.00,3756.00,7075310.00,1900.00,0.00 
Neco Insurance Co. Ltd.,905,1166.00,1100.00,1166.00,169375.00,191356112.00,1110.00,56.00 
Nepal Bangladesh Bank Limited,2845,330.00,293.00,299.00,830433.00,252624596.00,317.00,-18.00 
Nepal Bank Limited,992,427.00,397.00,403.00,430847.00,173551045.00,407.00,-4.00 
Nepal Credit And Commercial Bank Limited,1088,301.00,285.00,300.00,630979.00,185478861.00,298.00,2.00 
Nepal Doorsanchar Comapany Limited,1471,1178.00,1050.00,1175.00,394837.00,443650399.00,1071.00,104.00 
Nepal Finance Ltd.,66,248.00,240.00,247.00,10475.00,2561770.00,249.00,-2.00 
Nepal Hydro Developers Ltd.,74,247.00,236.00,237.00,1890.00,456080.00,246.00,-9.00 
Nepal Insurance Co. Ltd.,237,694.00,665.00,687.00,62048.00,42164493.00,690.00,-3.00 
Nepal Investment Bank Limited,1034,525.00,499.00,502.00,213143.00,108167496.00,520.00,-18.00 
Nepal Investment Bank Ltd. Promoter Share,128,448.00,425.00,435.00,82918.00,36360223.00,437.00,-2.00 
Nepal Life Insurance Co. Ltd.,1753,1965.00,1855.00,1910.00,176894.00,339035168.00,1855.00,55.00 
Nepal Reinsurance Company Limited,3927,1599.00,1440.00,1599.00,430735.00,657988102.00,1454.00,145.00 
Nepal SBI Bank Limited,213,454.00,435.00,440.00,52193.00,22987328.00,449.00,-9.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,55,738.00,722.00,730.00,2026.00,1478542.00,718.00,12.00 
Nerude Laghubita Bikas Bank Limited,296,902.00,851.00,900.00,37876.00,33238865.00,864.00,36.00 
Ngadi Group Power Ltd.,223,261.00,249.00,254.00,90390.00,23016770.00,261.00,-7.00 
NIBL Pragati Fund,38,10.18,10.10,10.10,68932.00,698373.72,10.18,-0.08 
NIBL Samriddhi Fund 1,27,11.05,10.82,11.05,97352.00,1070425.00,11.03,0.02 
NIC Asia Balanced Fund,16,10.04,9.71,9.85,5960.00,58794.90,10.01,-0.16 
NIC Asia Bank Ltd.,781,655.00,630.00,632.00,170189.00,108430082.00,647.00,-15.00 
NIC Asia Growth Fund,30,10.57,10.12,10.32,72960.00,761806.60,10.55,-0.23 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,170,1104.00,1070.00,1100.00,19682.00,21520669.00,1076.00,24.00 
NLG Insurance Company Ltd.,135,752.00,718.00,740.00,21253.00,15604373.00,739.00,1.00 
NMB  Microfinance Bittiya Sanstha Ltd.,166,1069.00,1039.00,1040.00,18650.00,19501817.00,1060.00,-20.00 
NMB 50,48,10.20,10.01,10.16,2475716.00,25037445.76,10.30,-0.14 
NMB Bank Limited,1062,470.00,450.00,456.00,237708.00,108425564.00,464.00,-8.00 
NMB Hybrid Fund L-1,41,10.29,10.00,10.10,81938.00,834431.08,10.35,-0.25 
NRN Infrastructure and Development Limited,815,414.00,389.00,390.00,53218.00,21170355.00,396.00,-6.00 
Oriental Hotels Limited,92,499.00,475.00,488.00,29539.00,14258889.00,490.00,-2.00 
Panchakanya Mai Hydropower Ltd,205,149.00,136.00,143.00,15640.00,2192721.00,146.00,-3.00 
Panchthar Power Compant Limited,191,249.00,241.00,249.00,23460.00,5777530.00,250.00,-1.00 
Pokhara Finance Ltd.,106,207.00,196.00,199.00,11596.00,2345438.00,204.00,-5.00 
Prabhu  Bank Limited,1991,382.00,355.00,359.00,576007.00,208560053.00,370.00,-11.00 
Prabhu Insurance Ltd.,213,675.00,653.00,655.00,50090.00,33107061.00,665.00,-10.00 
Premier Insurance Co. Ltd.,291,887.00,866.00,875.00,42346.00,37143146.00,874.00,1.00 
Prime Commercial Bank Ltd.,1117,411.00,392.00,394.00,364905.00,145045557.00,408.00,-14.00 
Prime Life Insurance Company Limited,258,817.00,779.00,788.00,54983.00,43504777.00,795.00,-7.00 
ProgressiveFinance Limited,61,147.00,136.00,136.00,23006.00,3179134.00,140.00,-4.00 
Prudential Insurance Co. Ltd.,168,592.00,564.00,567.00,39344.00,22516799.00,573.00,-6.00 
Radhi Bidyut Company Ltd,157,335.00,300.00,312.00,7911.00,2484309.00,305.00,7.00 
Rairang Hydropower Development Company Ltd.,292,290.00,262.00,271.00,53853.00,14669565.00,264.00,7.00 
Rastriya Beema Company Limited,75,16250.00,15806.00,15820.00,1247.00,19931837.00,16100.00,-280.00 
Rastriya Beema Company Limited Promoter Share,36,16000.00,15386.00,15450.00,1628.00,25451810.00,15980.00,-530.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,988,276.00,247.00,276.00,190694.00,50859932.00,251.00,25.00 
Reliance Finance Ltd.,89,192.00,176.00,179.00,31798.00,5706252.00,183.00,-4.00 
Reliance Life Insurance Limited,3290,680.00,631.00,673.00,202285.00,133999885.00,633.00,40.00 
Ridi Hydropower Development Company Ltd.,170,180.00,168.00,171.00,48484.00,8328734.00,178.00,-7.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,61,900.00,871.00,882.00,6967.00,6168490.00,884.00,-2.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,155,677.00,627.00,630.00,18778.00,11870255.00,645.00,-15.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,95,913.00,875.00,877.00,3187.00,2815345.00,871.00,6.00 
Sadhana Laghubitta Bittiya Sanstha Limited,149,1020.00,996.00,1015.00,6465.00,6519120.00,1019.00,-4.00 
Sagarmatha Insurance Co. Ltd.,82,990.00,963.00,966.00,18876.00,18295845.00,971.00,-5.00 
Salt Trading Corporation,85,6800.00,6003.00,6255.00,1759.00,11233927.00,6550.00,-295.00 
Samriddhi Finance Company Limited,41,149.00,139.00,144.00,5912.00,850543.00,141.00,3.00 
Samudayik Laghubitta Bittiya Sanstha Limited,56,822.00,800.00,802.00,1791.00,1446899.00,806.00,-4.00 
Sana Kisan Bikas Bank Ltd,161,1625.00,1582.00,1602.00,22005.00,35155112.00,1599.00,3.00 
Sanima Bank Limited,418,336.00,323.00,326.00,111587.00,36457650.00,335.00,-9.00 
Sanima Equity Fund,31,11.20,11.00,11.00,99800.00,1108030.00,11.19,-0.19 
Sanima General Insurance Limited,929,635.00,602.00,617.00,19396.00,11971982.00,622.00,-5.00 
Sanima Mai Hydropower Ltd.,689,401.00,375.00,380.00,214999.00,83240746.00,391.00,-11.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,941,250.00,222.00,250.00,144418.00,34575879.00,228.00,22.00 
Saptakoshi Development Bank Ltd,66,172.00,162.00,162.00,12016.00,1994789.00,169.00,-7.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,34,946.00,894.00,895.00,5339.00,4833793.00,901.00,-6.00 
Shangrila Development Bank Ltd.,120,199.00,192.00,193.00,54828.00,10653089.00,197.00,-4.00 
Shikhar Insurance Co. Ltd.,355,1750.00,1672.00,1705.00,72462.00,123040532.00,1716.00,-11.00 
Shine Resunga Development Bank Ltd.,224,275.00,262.00,262.00,49704.00,13170406.00,273.00,-11.00 
Shiva Shree Hydropower Ltd,164,171.00,160.00,163.00,69010.00,11297270.00,169.00,-6.00 
SHIVAM CEMENTS LTD,1059,1225.00,1091.00,1209.00,176124.00,203722982.00,1131.00,78.00 
Shree Investment Finance Co. Ltd.,22,210.00,206.00,207.00,5134.00,1069646.00,210.00,-3.00 
Siddhartha Bank Limited,761,390.00,365.00,371.00,230874.00,85708276.00,384.00,-13.00 
Siddhartha Equity Fund,56,10.35,10.05,10.17,248948.00,2536715.82,10.25,-0.08 
Siddhartha Insurance Ltd.,78,855.00,838.00,854.00,29209.00,24635918.00,860.00,-6.00 
Sindhu Bikash Bank Ltd,52,173.00,166.00,166.00,14557.00,2462021.00,171.00,-5.00 
Soaltee Hotel Limited,134,214.00,203.00,207.00,75730.00,15753955.00,210.00,-3.00 
Standard Chartered Bank Limited,377,682.00,663.00,668.00,38097.00,25632238.00,684.00,-16.00 
Summit Laghubitta Bittiya Sanstha Limited,26,930.00,913.00,915.00,4481.00,4119940.00,939.00,-24.00 
Sunrise Bank Limited,361,280.00,263.00,268.00,113964.00,30892733.00,277.00,-9.00 
Sunrise First Mutual Fund,10,10.10,10.00,10.00,532000.00,5373000.00,10.20,-0.20 
Support Microfinance Bittiya Sanstha Ltd.,57,960.00,940.00,957.00,1588.00,1510558.00,955.00,2.00 
Surya Life Insurance Company Limited,319,710.00,682.00,694.00,84429.00,58597672.00,695.00,-1.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,38,1004.00,970.00,983.00,1803.00,1768853.00,987.00,-4.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,80,1530.00,1499.00,1505.00,9195.00,13877535.00,1523.00,-18.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,76,1133.00,1066.00,1089.00,3664.00,3945556.00,1092.00,-3.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,82,957.00,930.00,938.00,10458.00,9787875.00,957.00,-19.00 
Synergy Power Development Ltd.,475,257.00,243.00,254.00,212089.00,53049253.00,245.00,9.00 
Taragaon Regency Hotel Limited,71,309.00,298.00,305.00,8818.00,2664868.00,305.00,0.00 
Unilever Nepal Limited,13,21300.00,20874.00,21200.00,140.00,2940470.00,21200.00,0.00 
Union Hydropower Limited,105,131.00,122.00,126.00,12377.00,1556623.00,129.00,-3.00 
United Finance Ltd.,25,244.00,240.00,244.00,5973.00,1450432.00,240.00,4.00 
United Insurance Co. (Nepal) Ltd.,191,505.00,472.00,472.00,35463.00,16922840.00,481.00,-9.00 
United Modi Hydropower Ltd.,263,184.00,166.00,171.00,138995.00,23801536.00,176.00,-5.00 
UNIVERSAL POWER COMPANY LTD,327,155.00,142.00,144.00,50231.00,7401421.00,148.00,-4.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,47,1157.00,1116.00,1124.00,3610.00,4115696.00,1135.00,-11.00 
Upper Tamakoshi Hydropower Ltd,1746,357.00,326.00,357.00,346495.00,122364513.00,325.00,32.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,57,1040.00,1015.00,1020.00,5525.00,5670369.00,1036.00,-16.00 
