Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Prabhu Bank Debenture 2084 ,4,1055.00,1050.00,1055.00,125.00,131500.00,1050.00,5.00 
10% Sunrise Debenture 2080,3,1056.00,1050.00,1056.00,100.00,105300.00,1050.00,6.00 
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,4,1066.00,1065.00,1066.00,175.00,186475.00,1065.00,1.00 
10.25% KBL Debenture 2086,1,1070.00,1070.00,1070.00,925.00,989750.00,1075.00,-5.00 
10.25% Sunrise Bank Debenture 2083,2,1068.00,1066.00,1068.00,140.00,149320.00,1065.00,3.00 
10.50% SBL Debenture 2082,1,1063.00,1063.00,1063.00,50.00,53150.00,1070.00,-7.00 
Agriculture Development Bank Limited,156,443.00,431.00,435.00,22837.00,9969048.00,439.00,-4.00 
Ajod Insurance Limited,418,644.00,626.00,639.00,9472.00,6019788.00,630.00,9.00 
Ankhu Khola Jalvidhyut Company Ltd,215,130.00,119.00,130.00,21454.00,2735422.00,119.00,11.00 
Api Power Company Ltd.,677,265.00,247.00,263.00,229180.00,59129477.00,247.00,16.00 
Arun Kabeli Power Ltd.,630,278.00,264.00,273.00,309970.00,84294282.00,263.00,10.00 
Arun Valley Hydropower Development Co. Ltd.,308,229.00,210.00,226.00,109556.00,24418204.00,210.00,16.00 
Asha Laghubitta Bittiya Sanstha Ltd,236,1155.00,1100.00,1155.00,12008.00,13523818.00,1100.00,55.00 
Asian Life Insurance Co. Limited,165,960.00,942.00,950.00,49432.00,47022726.00,948.00,2.00 
Bank of Kathmandu Ltd.,268,273.00,260.00,269.00,96271.00,25798529.00,265.00,4.00 
Barun Hydropower Co. Ltd.,101,188.00,172.00,183.00,18243.00,3288734.00,171.00,12.00 
Best Finance Company Ltd.,44,141.00,136.00,138.00,20116.00,2796602.00,140.00,-2.00 
Bishal Bazar Company Limited,19,2898.00,2738.00,2775.00,411.00,1155590.00,2850.00,-75.00 
Bottlers Nepal (Terai) Limited,5,9392.00,9028.00,9250.00,140.00,1293360.00,9212.00,38.00 
Butwal Power Company Limited,258,404.00,392.00,398.00,40196.00,16024146.00,399.00,-1.00 
Central Finance Co. Ltd.,39,171.00,168.00,169.00,16222.00,2748886.00,169.00,0.00 
Century Commercial Bank Ltd.,232,204.00,201.00,204.00,54944.00,11144874.00,204.00,0.00 
Chhimek Laghubitta Bikas Bank Limited,117,1205.00,1180.00,1190.00,9413.00,11191675.00,1197.00,-7.00 
Chhyangdi Hydropower Ltd.,83,168.00,152.00,160.00,7447.00,1177759.00,153.00,7.00 
Chilime Hydropower Company Limited,259,555.00,526.00,542.00,58066.00,31379662.00,535.00,7.00 
Citizen Bank International Limited,722,288.00,265.00,281.00,261794.00,72298252.00,270.00,11.00 
Citizen Investment Trust,352,3434.00,3380.00,3383.00,11779.00,39975098.00,3415.00,-32.00 
Citizens Mutual Fund -1,28,10.10,9.86,9.91,46200.00,463251.00,10.06,-0.15 
CITIZENS MUTUAL FUND 2,22,9.99,9.86,9.95,10100.00,100164.00,9.90,0.05 
Civil Bank Ltd,318,192.00,186.00,189.00,121994.00,23107408.00,188.00,1.00 
Civil Laghubitta Bittiya Sanstha Ltd.,107,853.00,787.00,838.00,9157.00,7486626.00,799.00,39.00 
Corporate Development Bank Limited,7,211.00,208.00,210.00,2855.00,598370.00,211.00,-1.00 
Deprosc Laghubitta Bittiya Sanstha Limited,117,1426.00,1384.00,1414.00,8674.00,12249006.00,1410.00,4.00 
Dibyashwori Hydropower Ltd.,129,112.00,102.00,109.00,31808.00,3453537.00,102.00,7.00 
Everest Bank Limited,482,793.00,770.00,780.00,71975.00,56361332.00,794.00,-14.00 
Everest Insurance Co. Ltd.,91,555.00,540.00,546.00,12973.00,7121894.00,543.00,3.00 
Everest Insurance Co. Ltd. Promoter Share,16,278.00,267.00,278.00,4479.00,1226177.00,276.00,2.00 
Excel Development Bank Ltd.,27,353.00,342.00,352.00,5591.00,1945242.00,347.00,5.00 
First Micro Finance Development Bank Ltd.,79,591.00,579.00,587.00,9927.00,5814510.00,589.00,-2.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,76,2299.00,2260.00,2290.00,2711.00,6197359.00,2300.00,-10.00 
Ganapati Microfinance Bittiya Sanstha Limited,168,1126.00,1025.00,1112.00,7001.00,7440778.00,1024.00,88.00 
Garima Bikas Bank Limited,154,317.00,309.00,312.00,55429.00,17326751.00,312.00,0.00 
General Insurance Company Nepal Ltd,553,551.00,545.00,545.00,7180.00,3930850.00,554.00,-9.00 
Ghalemdi Hydro Limited,154,119.00,109.00,119.00,13483.00,1542791.00,109.00,10.00 
Global IME Bank Limited,575,322.00,312.00,314.00,113673.00,35733751.00,318.00,-4.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,31,1378.00,1352.00,1360.00,1839.00,2503544.00,1375.00,-15.00 
Global IME Samunnat Scheme-1,49,11.80,11.46,11.51,521083.00,6011033.50,11.60,-0.09 
Goodwill Finance Co. Ltd.,22,196.00,192.00,193.00,3084.00,595398.00,194.00,-1.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,111,590.00,575.00,583.00,6636.00,3878060.00,580.00,3.00 
Green Development Bank Ltd.,34,150.00,145.00,146.00,3445.00,503960.00,148.00,-2.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,24,199.00,191.00,191.00,3420.00,668815.00,193.00,-2.00 
Gurans Laghubitta Bittiya Sanstha Limited,53,908.00,855.00,878.00,1965.00,1728480.00,872.00,6.00 
Gurans Life Insurance Company Ltd.,160,627.00,615.00,616.00,11138.00,6921839.00,626.00,-10.00 
Gurkhas Finance Ltd.,43,209.00,202.00,204.00,9861.00,2026760.00,205.00,-1.00 
Himal Dolakha Hydropower Company Limited,560,134.00,121.00,134.00,290990.00,38152107.00,122.00,12.00 
Himalaya Urja Bikas Company Limited,118,204.00,189.00,198.00,3310.00,648850.00,191.00,7.00 
Himalayan Bank Limited,69,568.00,563.00,565.00,8552.00,4837814.00,573.00,-8.00 
Himalayan Distillery Limited,508,3860.00,3725.00,3744.00,28128.00,106165586.00,3850.00,-106.00 
Himalayan General Insurance Co. Ltd,181,666.00,650.00,666.00,35625.00,23497276.00,651.00,15.00 
Himalayan Power Partner Ltd.,180,233.00,220.00,229.00,4286.00,962168.00,222.00,7.00 
Hydorelectricity Investment and Development Company Ltd,352,278.00,253.00,266.00,95256.00,25615954.00,264.00,2.00 
ICFC Finance Limited,55,267.00,261.00,261.00,8429.00,2216804.00,267.00,-6.00 
IME General Insurance Ltd.,91,630.00,600.00,601.00,20788.00,12641068.00,600.00,1.00 
Infinity Laghubitta Bittiya Sanstha Limited,91,1053.00,1031.00,1037.00,2132.00,2214375.00,1046.00,-9.00 
Janaki Finance Ltd.,223,275.00,251.00,259.00,54254.00,14210320.00,254.00,5.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,113,1981.00,1771.00,1981.00,7727.00,14672763.00,1801.00,180.00 
Joshi Hydropower Development Company Ltd,199,117.00,105.00,117.00,23543.00,2666175.00,107.00,10.00 
Jyoti Bikas Bank Limited,251,240.00,228.00,230.00,54833.00,12629208.00,229.00,1.00 
Kalika Microcredit Development Bank Ltd.,96,885.00,867.00,880.00,4504.00,3943721.00,883.00,-3.00 
Kalika power Company Ltd,216,211.00,189.00,200.00,10590.00,2107170.00,192.00,8.00 
Kamana Sewa Bikas Bank Limited,76,222.00,216.00,218.00,19996.00,4342410.00,220.00,-2.00 
Karnali Development Bank Limited,34,138.00,132.00,138.00,5356.00,723394.00,136.00,2.00 
Khanikhola Hydropower Co. Ltd.,112,116.00,104.00,113.00,9611.00,1065279.00,106.00,7.00 
Kisan Lagubitta Bittiya Sanstha Limited,65,1258.00,1184.00,1195.00,5440.00,6559292.00,1199.00,-4.00 
Kumari Bank Limited,476,261.00,252.00,257.00,168987.00,43262513.00,257.00,0.00 
Laxmi Bank Limited,147,270.00,261.00,262.00,52064.00,13745478.00,267.00,-5.00 
Laxmi Equity Fund,19,10.20,9.85,9.95,66700.00,666485.00,10.00,-0.05 
Laxmi Laghubitta Bittiya Sanstha Ltd.,12,1351.00,1325.00,1325.00,737.00,978995.00,1325.00,0.00 
Laxmi Unnati Kosh,19,9.50,9.14,9.35,3200.00,29872.00,9.30,0.05 
Liberty Energy Company Limited,239,222.00,209.00,217.00,9746.00,2109506.00,212.00,5.00 
Life Insurance Co. Nepal,80,2008.00,1970.00,1985.00,18258.00,36245426.00,1990.00,-5.00 
Lumbini Bikas Bank Ltd.,72,215.00,205.00,207.00,14365.00,2980399.00,207.00,0.00 
Lumbini General Insurance Co. Ltd.,89,591.00,578.00,583.00,24538.00,14294910.00,580.00,3.00 
Lumbini General Insurance Co. Ltd. Promoter Share,1,331.00,331.00,331.00,12460.00,4124260.00,331.00,0.00 
Machhapuchhre Bank Limited,188,260.00,251.00,256.00,68348.00,17480559.00,255.00,1.00 
Mahalaxmi Bikas Bank Ltd.,110,245.00,238.00,240.00,31402.00,7561749.00,241.00,-1.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,5,875.00,862.00,875.00,87.00,75618.00,879.00,-4.00 
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,44,1578.00,1501.00,1550.00,2234.00,3427295.00,1561.00,-11.00 
Manjushree Finance Ltd.,50,327.00,319.00,324.00,37742.00,12115580.00,325.00,-1.00 
