Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Mega  Bank Nepal Ltd.,356,263.00,249.00,258.00,87842.00,22883621.00,261.00,-3.00 
Mero Microfinance Bittiya Sanstha Ltd.,83,909.00,893.00,900.00,20329.00,18228008.00,906.00,-6.00 
Mirmire Microfinance Development Bank Ltd.,71,1135.00,1101.00,1113.00,8991.00,10090639.00,1114.00,-1.00 
Miteri Development Bank Limited,23,336.00,323.00,332.00,5714.00,1879270.00,325.00,7.00 
Mithila LaghuBitta Bittiya Sanstha Limited,38,1250.00,1206.00,1211.00,4010.00,4877441.00,1226.00,-15.00 
Mountain Energy Nepal Limited,668,409.00,371.00,383.00,12881.00,4943465.00,377.00,6.00 
Mountain Hydro Nepal Limited,117,200.00,177.00,197.00,7350.00,1359470.00,182.00,15.00 
Muktinath Bikas Bank Ltd.,134,355.00,345.00,346.00,24486.00,8508300.00,349.00,-3.00 
Multipurpose Finance Company  Limited,7,151.00,147.00,151.00,560.00,83690.00,148.00,3.00 
NABIL BALANCED FUND-2,36,9.89,9.65,9.81,63600.00,619650.00,9.82,-0.01 
Nabil Bank Limited,569,1118.00,1095.00,1097.00,90991.00,100390256.00,1111.00,-14.00 
Nabil Equity Fund,94,10.50,10.05,10.10,221608.00,2254690.93,10.11,-0.01 
Narayani Development Bank Limited,20,523.00,485.00,523.00,6655.00,3479195.00,476.00,47.00 
National Hydro Power Company Limited,409,122.00,112.00,118.00,284246.00,33354550.00,113.00,5.00 
National Life Insurance Co. Ltd.,334,1152.00,1127.00,1135.00,57541.00,65608262.00,1148.00,-13.00 
National Microfinance Bittiya Sanstha Ltd.,145,2290.00,2210.00,2231.00,6156.00,13766025.00,2290.00,-59.00 
Neco Insurance Co. Ltd.,441,1225.00,1197.00,1210.00,60240.00,73243422.00,1206.00,4.00 
Nepal Bangladesh Bank Limited,267,271.00,263.00,266.00,80311.00,21406664.00,270.00,-4.00 
Nepal Bank Limited,235,350.00,345.00,347.00,95017.00,33040153.00,352.00,-5.00 
Nepal Credit And Commercial Bank Limited,364,340.00,318.00,325.00,99649.00,32547523.00,324.00,1.00 
Nepal Doorsanchar Comapany Limited,705,1306.00,1250.00,1275.00,124736.00,160486716.00,1291.00,-16.00 
Nepal Finance Ltd.,27,219.00,210.00,216.00,2567.00,549832.00,208.00,8.00 
Nepal Hydro Developers Ltd.,42,238.00,222.00,238.00,762.00,173894.00,230.00,8.00 
Nepal Insurance Co. Ltd.,95,630.00,618.00,621.00,18048.00,11248052.00,620.00,1.00 
Nepal Investment Bank Limited,1739,550.00,534.00,540.00,383826.00,206795606.00,534.00,6.00 
Nepal Investment Bank Ltd. Promoter Share,194,471.00,460.00,468.00,145811.00,67843963.00,465.00,3.00 
Nepal Life Insurance Co. Ltd.,930,2417.00,2365.00,2388.00,108317.00,259072324.00,2400.00,-12.00 
Nepal Life Insurance Co. Ltd. Promoter,2,830.00,830.00,830.00,12648.00,10497840.00,814.00,16.00 
Nepal Reinsurance Company Limited,1954,1569.00,1510.00,1535.00,164302.00,253502872.00,1520.00,15.00 
Nepal SBI Bank Limited,106,421.00,410.00,417.00,26521.00,11024304.00,416.00,1.00 
Nerude Laghubita Bikas Bank Limited,89,1135.00,1110.00,1119.00,14718.00,16448844.00,1123.00,-4.00 
Ngadi Group Power Ltd.,84,229.00,214.00,221.00,18954.00,4224825.00,216.00,5.00 
NIBL Pragati Fund,53,10.75,10.26,10.61,148226.00,1565969.75,10.41,0.20 
NIBL Samriddhi Fund 1,14,11.60,11.50,11.60,56813.00,657517.90,11.50,0.10 
NIC Asia Balanced Fund,27,10.25,9.98,10.13,119500.00,1201171.00,10.17,-0.04 
NIC Asia Bank Ltd.,721,899.00,880.00,883.00,184653.00,163977774.00,892.00,-9.00 
NIC Asia Debenture 2081/82,3,1026.00,1006.00,1026.00,75.00,75950.00,1010.00,16.00 
NIC Asia Growth Fund,32,10.55,10.29,10.50,123989.00,1296713.60,10.50,0.00 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,153,1360.00,1254.00,1338.00,17533.00,23452078.00,1320.00,18.00 
NLG Insurance Company Ltd.,118,762.00,736.00,757.00,29158.00,21985550.00,749.00,8.00 
NMB  Microfinance Bittiya Sanstha Ltd.,83,990.00,968.00,975.00,7764.00,7591997.00,990.00,-15.00 
NMB 50,37,10.40,10.15,10.40,99900.00,1036805.00,10.25,0.15 
NMB Bank Limited,496,416.00,401.00,409.00,181295.00,74608054.00,411.00,-2.00 
NMB Hybrid Fund L-1,33,10.10,9.91,9.98,124584.00,1250457.86,10.10,-0.12 
NRN Infrastructure and Development Limited,590,379.00,351.00,363.00,15817.00,5750560.00,353.00,10.00 
Oriental Hotels Limited,37,481.00,457.00,476.00,10040.00,4714614.00,472.00,4.00 
Panchakanya Mai Hydropower Ltd,156,136.00,122.00,130.00,11242.00,1442326.00,128.00,2.00 
Panchthar Power Compant Limited,148,217.00,196.00,205.00,6297.00,1300242.00,198.00,7.00 
Pokhara Finance Ltd.,40,175.00,168.00,172.00,1202.00,205782.00,171.00,1.00 
Prabhu  Bank Limited,618,374.00,362.00,368.00,224947.00,83058062.00,369.00,-1.00 
Prabhu Insurance Ltd.,77,651.00,643.00,649.00,17074.00,11044931.00,644.00,5.00 
Prabhu Life Insurance Limited,3,158.00,152.00,158.00,30.00,4650.00,145.00,13.00 
Premier Insurance Co. Ltd.,205,1035.00,1000.00,1018.00,24252.00,24627588.00,1020.00,-2.00 
Prime Commercial Bank Ltd.,592,407.00,398.00,399.00,148221.00,59525774.00,407.00,-8.00 
Prime Life Insurance Company Limited,128,781.00,766.00,775.00,17936.00,13903745.00,775.00,0.00 
ProgressiveFinance Limited,58,131.00,126.00,129.00,23532.00,3019911.00,127.00,2.00 
Prudential Insurance Co. Ltd.,118,573.00,559.00,570.00,22651.00,12865367.00,560.00,10.00 
Prudential Insurance Co. Ltd. Promoter Share,1,263.00,263.00,263.00,40000.00,10520000.00,268.00,-5.00 
Radhi Bidyut Company Ltd,97,307.00,294.00,304.00,10047.00,3037686.00,305.00,-1.00 
Rairang Hydropower Development Company Ltd.,124,250.00,235.00,245.00,7740.00,1872950.00,242.00,3.00 
Rastriya Beema Company Limited,32,14815.00,14520.00,14750.00,495.00,7262795.00,14844.00,-94.00 
Rastriya Beema Company Limited Promoter Share,7,14050.00,13800.00,13800.00,113.00,1580315.00,14300.00,-500.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,420,302.00,278.00,293.00,50015.00,14623249.00,286.00,7.00 
Reliance Finance Ltd.,32,171.00,159.00,168.00,4895.00,825637.00,167.00,1.00 
Reliance Finance Ltd. Promoter Share,1,109.00,109.00,109.00,4800.00,523200.00,109.00,0.00 
Reliance Life Insurance Limited,1185,614.00,605.00,608.00,20194.00,12295764.00,609.00,-1.00 
Ridi Hydropower Development Company Ltd.,220,159.00,144.00,159.00,46646.00,7275857.00,145.00,14.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,111,1199.00,1160.00,1160.00,18399.00,21609604.00,1180.00,-20.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,89,614.00,580.00,586.00,7520.00,4395132.00,585.00,1.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,88,1100.00,1035.00,1093.00,2163.00,2299066.00,1079.00,14.00 
Sadhana Laghubitta Bittiya Sanstha Limited,63,1025.00,1005.00,1022.00,1145.00,1165240.00,1045.00,-23.00 
Sagarmatha Insurance Co. Ltd.,105,1035.00,1015.00,1022.00,12155.00,12440054.00,1025.00,-3.00 
Salt Trading Corporation,128,6887.00,6210.00,6470.00,3071.00,20131645.00,6895.00,-425.00 
Samriddhi Finance Company Limited,34,131.00,127.00,129.00,5072.00,654686.00,130.00,-1.00 
Samudayik Laghubitta Bittiya Sanstha Limited,41,960.00,943.00,947.00,848.00,802883.00,947.00,0.00 
Sana Kisan Bikas Bank Ltd,59,1458.00,1438.00,1438.00,4318.00,6250228.00,1458.00,-20.00 
Sanima Bank Limited,560,345.00,334.00,344.00,228426.00,77926730.00,339.00,5.00 
Sanima Bank Limited Debenture,2,1053.00,1051.00,1053.00,50.00,52600.00,1050.00,3.00 
Sanima Equity Fund,37,11.57,11.28,11.50,576100.00,6637601.00,11.50,0.00 
Sanima General Insurance Limited,663,573.00,558.00,563.00,11775.00,6693715.00,568.00,-5.00 
Sanima Mai Hydropower Ltd.,161,321.00,305.00,318.00,41272.00,12992910.00,308.00,10.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,374,286.00,261.00,270.00,30874.00,8412940.00,265.00,5.00 
Saptakoshi Development Bank Ltd,45,148.00,144.00,145.00,11744.00,1718598.00,144.00,1.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,36,992.00,973.00,989.00,3998.00,3913449.00,988.00,1.00 
Shangrila Development Bank Ltd.,36,179.00,175.00,179.00,6170.00,1090192.00,175.00,4.00 
Shikhar Insurance Co. Ltd.,3162,1944.00,1855.00,1895.00,362719.00,690687062.00,1850.00,45.00 
Shine Resunga Development Bank Ltd.,104,244.00,235.00,241.00,20968.00,5045221.00,239.00,2.00 
Shiva Shree Hydropower Ltd,158,161.00,146.00,156.00,53023.00,8254573.00,147.00,9.00 
SHIVAM CEMENTS LTD,534,1600.00,1540.00,1573.00,57135.00,89799994.00,1560.00,13.00 
Shree Investment Finance Co. Ltd.,4,184.00,181.00,184.00,530.00,96020.00,182.00,2.00 
Siddhartha Bank Limited,712,447.00,417.00,432.00,205680.00,88511405.00,426.00,6.00 
Siddhartha Equity Fund,75,10.60,10.40,10.55,435657.00,4582976.83,10.42,0.13 
Siddhartha Insurance Ltd.,96,850.00,836.00,843.00,17279.00,14583190.00,838.00,5.00 
Sindhu Bikash Bank Ltd,27,152.00,148.00,150.00,9965.00,1495133.00,151.00,-1.00 
Soaltee Hotel Limited,65,195.00,192.00,192.00,19767.00,3818009.00,196.00,-4.00 
Standard Chartered Bank Limited,201,665.00,646.00,653.00,26463.00,17405202.00,658.00,-5.00 
Summit Laghubitta Bittiya Sanstha Limited,19,955.00,938.00,945.00,1157.00,1094315.00,946.00,-1.00 
Sunrise Bank Limited,109,255.00,251.00,251.00,31652.00,7998444.00,255.00,-4.00 
Sunrise First Mutual Fund,15,10.41,10.11,10.41,116700.00,1213029.00,10.27,0.14 
Support Microfinance Bittiya Sanstha Ltd.,26,1088.00,1070.00,1080.00,1475.00,1600453.00,1082.00,-2.00 
Surya Life Insurance Company Limited,114,705.00,685.00,691.00,24325.00,16880764.00,686.00,5.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,27,1327.00,1305.00,1305.00,795.00,1042734.00,1320.00,-15.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,52,1680.00,1652.00,1670.00,8239.00,13745849.00,1668.00,2.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,35,1337.00,1312.00,1335.00,1516.00,2002496.00,1337.00,-2.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,50,1120.00,1098.00,1098.00,5205.00,5761216.00,1100.00,-2.00 
Synergy Power Development Ltd.,222,227.00,211.00,225.00,150811.00,32869246.00,215.00,10.00 
Taragaon Regency Hotel Limited,31,299.00,292.00,298.00,6965.00,2044180.00,296.00,2.00 
Unilever Nepal Limited,3,18890.00,18889.00,18889.00,30.00,566680.00,19000.00,-111.00 
Union Hydropower Limited,152,119.00,105.00,114.00,32632.00,3709944.00,109.00,5.00 
United Finance Ltd.,31,250.00,241.00,244.00,6843.00,1672442.00,249.00,-5.00 
United IDI Mardi RB Hydropower Limited.,263,240.00,211.00,232.00,4390.00,987010.00,222.00,10.00 
United Insurance Co. (Nepal) Ltd.,955,511.00,470.00,504.00,237612.00,117752439.00,480.00,24.00 
United Modi Hydropower Ltd.,202,161.00,145.00,155.00,72050.00,11083518.00,147.00,8.00 
UNIVERSAL POWER COMPANY LTD,327,136.00,124.00,131.00,73855.00,9660829.00,124.00,7.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,46,1320.00,1291.00,1320.00,2292.00,2992001.00,1333.00,-13.00 
Upper Tamakoshi Hydropower Ltd,908,455.00,410.00,434.00,131972.00,57435108.00,417.00,17.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,30,1090.00,1049.00,1056.00,1395.00,1478520.00,1080.00,-24.00 
