Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Civil Laghubitta Bittiya Sanstha Ltd.,37,729.00,711.00,722.00,1597.00,1153250.00,715.00,7.00 
Corporate Development Bank Limited,25,144.00,133.00,143.00,4385.00,597107.00,131.00,12.00 
Deprosc Laghubitta Bittiya Sanstha Limited,178,894.00,868.00,891.00,26239.00,23200039.00,876.00,15.00 
Dibyashwori Hydropower Ltd.,36,79.00,73.00,79.00,6735.00,530225.00,72.00,7.00 
Everest Bank Limited,270,745.00,727.00,741.00,40742.00,29963792.00,732.00,9.00 
Everest Insurance Co. Ltd.,388,568.00,557.00,558.00,70882.00,39813411.00,567.00,-9.00 
Excel Development Bank Ltd.,67,310.00,297.00,303.00,12699.00,3851484.00,298.00,5.00 
First Micro Finance Development Bank Ltd.,268,608.00,595.00,600.00,47213.00,28512850.00,596.00,4.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,45,1620.00,1576.00,1587.00,3699.00,5873108.00,1590.00,-3.00 
Ganapati Microfinance Bittiya Sanstha Limited,36,838.00,823.00,838.00,730.00,606465.00,830.00,8.00 
Garima Bikas Bank Limited,267,259.00,237.00,246.00,61822.00,15021971.00,236.00,10.00 
Ghalemdi Hydro Limited,54,96.00,89.00,96.00,3350.00,318780.00,88.00,8.00 
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,40,835.00,817.00,818.00,1035.00,851455.00,817.00,1.00 
Global IME Bank Limited,662,274.00,263.00,269.00,203417.00,54161769.00,263.00,6.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,62,1232.00,1215.00,1230.00,4888.00,5966460.00,1217.00,13.00 
Global IME Samunnat Scheme-1,24,9.20,9.00,9.20,104900.00,955436.00,9.09,0.11 
Goodwill Finance Co. Ltd.,153,174.00,160.00,174.00,41788.00,7046126.00,159.00,15.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,207,564.00,543.00,551.00,27633.00,15301815.00,549.00,2.00 
Green Development Bank Ltd.,142,127.00,115.00,127.00,23820.00,2921755.00,116.00,11.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,146,145.00,132.00,145.00,47279.00,6766229.00,132.00,13.00 
Gurans Laghubitta Bittiya Sanstha Limited,28,792.00,763.00,781.00,482.00,377722.00,776.00,5.00 
Gurans Life Insurance Company Ltd.,243,670.00,650.00,654.00,44975.00,29628027.00,654.00,0.00 
Gurkhas Finance Ltd.,167,137.00,123.00,136.00,74286.00,9871816.00,125.00,11.00 
Himal Dolakha Hydropower Company Limited,1139,110.00,98.00,110.00,433991.00,45276065.00,100.00,10.00 
Himalaya Urja Bikas Company Limited,340,141.00,129.00,141.00,26543.00,3681085.00,129.00,12.00 
Himalayan Bank Limited,101,582.00,560.00,574.00,15075.00,8559864.00,565.00,9.00 
Himalayan Distillery Limited,139,1860.00,1824.00,1833.00,18047.00,33196783.00,1815.00,18.00 
Himalayan General Insurance Co. Ltd,308,550.00,530.00,533.00,66268.00,35699085.00,544.00,-11.00 
Himalayan Power Partner Ltd.,323,204.00,185.00,202.00,39580.00,7924372.00,195.00,7.00 
Hydorelectricity Investment and Development Company Ltd,838,171.00,156.00,171.00,294529.00,49487929.00,156.00,15.00 
ICFC Finance Limited,194,191.00,175.00,190.00,53170.00,9983873.00,174.00,16.00 
IME General Insurance Ltd.,87,575.00,564.00,567.00,16576.00,9466597.00,567.00,0.00 
Infinity Laghubitta Bittiya Sanstha Limited,147,860.00,830.00,858.00,5215.00,4431518.00,844.00,14.00 
Janaki Finance Ltd.,144,192.00,179.00,190.00,32773.00,6115303.00,178.00,12.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,17,1395.00,1357.00,1390.00,661.00,912482.00,1384.00,6.00 
Joshi Hydropower Development Company Ltd,420,113.00,106.00,113.00,22037.00,2453090.00,103.00,10.00 
Jyoti Bikas Bank Limited,507,185.00,170.00,180.00,154116.00,27712473.00,169.00,11.00 
Kalika Microcredit Development Bank Ltd.,152,770.00,759.00,769.00,8475.00,6477057.00,763.00,6.00 
Kalika power Company Ltd,470,155.00,137.00,155.00,35318.00,5297325.00,141.00,14.00 
Kamana Sewa Bikas Bank Limited,289,157.00,142.00,154.00,97859.00,14721415.00,143.00,11.00 
Karnali Development Bank Limited,152,115.00,104.00,115.00,49886.00,5508016.00,105.00,10.00 
Khanikhola Hydropower Co. Ltd.,44,80.00,76.00,80.00,3556.00,283866.00,73.00,7.00 
Kisan Lagubitta Bittiya Sanstha Limited,420,1421.00,1176.00,1205.00,22852.00,29130810.00,1292.00,-87.00 
Kumari Bank Limited,837,205.00,193.00,203.00,346597.00,69068790.00,194.00,9.00 
Laxmi Bank Limited,238,247.00,234.00,245.00,71970.00,17431503.00,235.00,10.00 
Laxmi Equity Fund,9,8.60,8.47,8.60,55100.00,473702.00,8.56,0.04 
Laxmi Laghubitta Bittiya Sanstha Ltd.,30,1149.00,1128.00,1135.00,1515.00,1723932.00,1139.00,-4.00 
Laxmi Unnati Kosh,25,9.35,9.09,9.35,8600.00,79400.00,9.26,0.09 
Life Insurance Co. Nepal,82,1535.00,1520.00,1520.00,11483.00,17551088.00,1536.00,-16.00 
Lumbini Bikas Bank Ltd.,255,197.00,183.00,190.00,77332.00,14752063.00,184.00,6.00 
Lumbini General Insurance Co. Ltd.,196,590.00,557.00,563.00,42585.00,24050352.00,560.00,3.00 
Machhapuchhre Bank Limited,267,238.00,227.00,234.00,111005.00,25833043.00,227.00,7.00 
Mahalaxmi Bikas Bank Ltd.,183,211.00,195.00,205.00,53361.00,10774953.00,197.00,8.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,29,738.00,700.00,730.00,3110.00,2265540.00,710.00,20.00 
Manjushree Finance Ltd.,238,312.00,299.00,310.00,70710.00,21791961.00,299.00,11.00 
Mega  Bank Nepal Ltd.,456,229.00,220.00,228.00,140001.00,31611572.00,221.00,7.00 
Mero Microfinance Bittiya Sanstha Ltd.,278,765.00,725.00,760.00,40748.00,30341871.00,732.00,28.00 
Mirmire Microfinance Development Bank Ltd.,33,956.00,947.00,947.00,3382.00,3219063.00,950.00,-3.00 
Miteri Development Bank Limited,100,380.00,359.00,380.00,16720.00,6179156.00,364.00,16.00 
Mithila LaghuBitta Bittiya Sanstha Limited,42,805.00,775.00,802.00,3096.00,2443703.00,785.00,17.00 
Mountain Hydro Nepal Limited,251,117.00,108.00,117.00,26755.00,3055855.00,107.00,10.00 
Muktinath Bikas Bank Ltd.,286,335.00,316.00,330.00,65800.00,21713800.00,326.00,4.00 
Multipurpose Finance Company  Limited,202,124.00,111.00,122.00,64412.00,7858771.00,113.00,9.00 
NABIL BALANCED FUND-2,10,9.00,8.83,8.88,26000.00,229972.00,9.00,-0.12 
Nabil Bank Limited,293,865.00,851.00,859.00,33660.00,28905002.00,853.00,6.00 
Nabil Equity Fund,27,9.03,8.40,8.84,61037.00,529454.13,8.75,0.09 
Nadep Laghubittiya bittya Sanstha Ltd.,90,752.00,726.00,732.00,5544.00,4100598.00,739.00,-7.00 
National Hydro Power Company Limited,426,79.00,75.00,79.00,328532.00,25917198.00,72.00,7.00 
National Life Insurance Co. Ltd.,229,795.00,770.00,790.00,83658.00,65044901.00,780.00,10.00 
National Microfinance Bittiya Sanstha Ltd.,33,1584.00,1550.00,1576.00,1410.00,2198920.00,1584.00,-8.00 
Neco Insurance Co. Ltd.,286,849.00,829.00,829.00,65383.00,54714042.00,834.00,-5.00 
Nepal Bangladesh Bank Limited,427,212.00,201.00,211.00,140126.00,29013666.00,203.00,8.00 
Nepal Bank Limited,752,315.00,307.00,311.00,406226.00,126345634.00,308.00,3.00 
Nepal Credit And Commercial Bank Limited,754,218.00,200.00,216.00,308450.00,65782394.00,209.00,7.00 
Nepal Doorsanchar Comapany Limited,78,713.00,706.00,712.00,15858.00,11236130.00,706.00,6.00 
Nepal Finance Ltd.,46,201.00,192.00,200.00,8811.00,1744653.00,190.00,10.00 
Nepal Hydro Developers Ltd.,80,218.00,197.00,218.00,6636.00,1431277.00,199.00,19.00 
Nepal Insurance Co. Ltd.,259,583.00,570.00,578.00,73453.00,42437353.00,575.00,3.00 
Nepal Investment Bank Limited,374,441.00,419.00,429.00,51581.00,21927038.00,420.00,9.00 
Nepal Investment Bank Ltd. Promoter Share,40,375.00,360.00,368.00,23598.00,8746153.00,362.00,6.00 
Nepal Life Insurance Co. Ltd.,492,1416.00,1392.00,1406.00,54293.00,76502017.00,1404.00,2.00 
Nepal Reinsurance Company Limited,1738,897.00,873.00,876.00,170721.00,149806832.00,884.00,-8.00 
Nepal SBI Bank Limited,166,444.00,422.00,437.00,30959.00,13410757.00,422.00,15.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,33,745.00,722.00,745.00,630.00,458050.00,735.00,10.00 
Nerude Laghubita Bikas Bank Limited,63,800.00,770.00,787.00,9389.00,7408521.00,775.00,12.00 
Ngadi Group Power Ltd.,239,173.00,164.00,173.00,53609.00,9194222.00,158.00,15.00 
NIBL Pragati Fund,8,8.86,8.69,8.78,17918.00,157041.45,8.85,-0.07 
NIBL Samriddhi Fund 1,12,9.50,9.31,9.50,55856.00,528952.44,9.31,0.19 
NIC Asia Balanced Fund,8,9.27,9.09,9.10,6350.00,57923.50,9.45,-0.35 
NIC Asia Bank Ltd.,456,593.00,579.00,590.00,115847.00,67976260.00,579.00,11.00 
NIC Asia Growth Fund,15,9.38,9.30,9.30,40200.00,375319.00,9.32,-0.02 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,28,986.00,977.00,978.00,2342.00,2295775.00,980.00,-2.00 
NLG Insurance Company Ltd.,32,774.00,761.00,765.00,4289.00,3292945.00,770.00,-5.00 
NMB  Microfinance Bittiya Sanstha Ltd.,92,858.00,834.00,843.00,11157.00,9423072.00,835.00,8.00 
NMB 50,14,9.69,9.43,9.69,5200.00,49679.00,9.50,0.19 
NMB Bank Limited,630,437.00,419.00,425.00,177572.00,75318831.00,419.00,6.00 
NMB Hybrid Fund L-1,31,10.44,10.10,10.44,106943.00,1086056.23,10.15,0.29 
NRN Infrastructure and Development Limited,2088,405.00,398.00,401.00,37908.00,15184272.00,406.00,-5.00 
Oriental Hotels Limited,384,438.00,401.00,438.00,68531.00,29363286.00,399.00,39.00 
Panchakanya Mai Hydropower Ltd,441,115.00,107.00,115.00,56953.00,6496570.00,105.00,10.00 
Panchthar Power Compant Limited,371,163.00,145.00,163.00,54315.00,8558155.00,149.00,14.00 
Pokhara Finance Ltd.,202,163.00,150.00,163.00,44675.00,7179338.00,149.00,14.00 
Prabhu  Bank Limited,507,240.00,228.00,238.00,184226.00,43209263.00,228.00,10.00 
Prabhu Insurance Ltd.,196,636.00,622.00,623.00,32887.00,20610804.00,627.00,-4.00 
Premier Insurance Co. Ltd.,279,825.00,802.00,809.00,47144.00,38304150.00,816.00,-7.00 
Prime Commercial Bank Ltd.,506,295.00,280.00,291.00,142539.00,41170232.00,282.00,9.00 
Prime Life Insurance Company Limited,247,692.00,670.00,678.00,61849.00,42219817.00,683.00,-5.00 
ProgressiveFinance Limited,62,117.00,107.00,116.00,29871.00,3458024.00,107.00,9.00 
Prudential Insurance Co. Ltd.,106,590.00,569.00,572.00,16700.00,9552650.00,568.00,4.00 
Radhi Bidyut Company Ltd,221,284.00,253.00,284.00,13752.00,3835222.00,259.00,25.00 
Rairang Hydropower Development Company Ltd.,230,149.00,137.00,149.00,11512.00,1706258.00,136.00,13.00 
Rastriya Beema Company Limited,23,12190.00,11715.00,11771.00,280.00,3354320.00,11720.00,51.00 
Rastriya Beema Company Limited Promoter Share,36,10600.00,10000.00,10255.00,1191.00,12343660.00,10140.00,115.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,993,196.00,177.00,195.00,303625.00,58548970.00,179.00,16.00 
Reliance Finance Ltd.,268,145.00,134.00,145.00,70005.00,9991352.00,132.00,13.00 
Reliance Life Insurance Limited,4155,660.00,630.00,660.00,52531.00,34639320.00,600.00,60.00 
Ridi Hydropower Development Company Ltd.,418,141.00,135.00,141.00,117919.00,16505023.00,129.00,12.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,109,869.00,855.00,858.00,8064.00,6941756.00,862.00,-4.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,133,605.00,578.00,581.00,9792.00,5689429.00,577.00,4.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,113,904.00,859.00,904.00,2861.00,2496602.00,868.00,36.00 
Sadhana Laghubitta Bittiya Sanstha Limited,253,874.00,844.00,860.00,5057.00,4359350.00,858.00,2.00 
Sagarmatha Insurance Co. Ltd.,114,969.00,951.00,964.00,24832.00,23815533.00,965.00,-1.00 
Salt Trading Corporation,10,3320.00,3290.00,3300.00,570.00,1880650.00,3295.00,5.00 
Samriddhi Finance Company Limited,92,123.00,114.00,123.00,21305.00,2512578.00,112.00,11.00 
Samudayik Laghubitta Bittiya Sanstha Limited,66,815.00,797.00,815.00,1923.00,1554470.00,809.00,6.00 
Sana Kisan Bikas Bank Ltd,176,1450.00,1372.00,1395.00,51452.00,71148249.00,1377.00,18.00 
Sanima Bank Limited,294,350.00,341.00,348.00,72370.00,25039216.00,343.00,5.00 
Sanima Equity Fund,27,10.40,10.18,10.31,84590.00,873589.10,10.30,0.01 
Sanima Mai Hydropower Ltd.,585,309.00,294.00,300.00,236329.00,71483476.00,300.00,0.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,707,179.00,158.00,179.00,96052.00,16843794.00,163.00,16.00 
Saptakoshi Development Bank Ltd,76,135.00,121.00,135.00,13111.00,1700959.00,123.00,12.00 
Shangrila Development Bank Ltd.,159,156.00,146.00,153.00,60504.00,9144649.00,144.00,9.00 
Shikhar Insurance Co. Ltd.,210,1395.00,1366.00,1389.00,44550.00,61532606.00,1368.00,21.00 
Shine Resunga Development Bank Ltd.,215,250.00,238.00,246.00,70146.00,17124749.00,241.00,5.00 
SHIVAM CEMENTS LTD,528,758.00,718.00,738.00,95467.00,70969651.00,722.00,16.00 
Shree Investment Finance Co. Ltd.,92,178.00,163.00,178.00,29578.00,5081057.00,162.00,16.00 
Siddhartha Bank Limited,347,313.00,304.00,310.00,102583.00,31588515.00,302.00,8.00 
Siddhartha Equity Fund,18,9.90,9.15,9.17,941600.00,9310245.00,9.66,-0.49 
Siddhartha Insurance Ltd.,103,788.00,769.00,777.00,31008.00,24012816.00,781.00,-4.00 
Sindhu Bikash Bank Ltd,96,136.00,125.00,135.00,19551.00,2597461.00,124.00,11.00 
Soaltee Hotel Limited,594,198.00,189.00,198.00,246185.00,48566485.00,180.00,18.00 
Sparsha Laghubitta Bittiya Sanstha Limited,39,999.00,960.00,985.00,733.00,715705.00,965.00,20.00 
Standard Chartered Bank Limited,224,671.00,655.00,670.00,18873.00,12577203.00,659.00,11.00 
Sunrise Bank Limited,229,244.00,229.00,240.00,76121.00,18175051.00,233.00,7.00 
Sunrise First Mutual Fund,6,10.00,9.95,9.95,1400.00,13980.00,9.81,0.14 
Support Microfinance Bittiya Sanstha Ltd.,29,896.00,850.00,875.00,856.00,751069.00,866.00,9.00 
Surya Life Insurance Company Limited,364,654.00,638.00,642.00,75361.00,48627800.00,642.00,0.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,42,988.00,961.00,984.00,1241.00,1212176.00,979.00,5.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,54,1290.00,1280.00,1280.00,4701.00,6039256.00,1272.00,8.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,48,1055.00,992.00,1025.00,1695.00,1712585.00,1000.00,25.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,63,902.00,878.00,879.00,6930.00,6137450.00,868.00,11.00 
Synergy Power Development Ltd.,291,181.00,169.00,181.00,85264.00,15149440.00,165.00,16.00 
Taragaon Regency Hotel Limited,300,264.00,252.00,264.00,59629.00,15692279.00,240.00,24.00 
Tinau Mission Development Bank Limited,89,191.00,175.00,183.00,41804.00,7610702.00,178.00,5.00 
Unilever Nepal Limited,1,19502.00,19502.00,19502.00,10.00,195020.00,19900.00,-398.00 
Union Hydropower Limited,231,102.00,97.00,102.00,71605.00,7298180.00,93.00,9.00 
United Finance Ltd.,24,200.00,191.00,196.00,1976.00,388495.00,191.00,5.00 
United Insurance Co. (Nepal) Ltd.,220,462.00,448.00,450.00,33090.00,15030816.00,454.00,-4.00 
United Modi Hydropower Ltd.,203,147.00,140.00,147.00,39089.00,5664135.00,134.00,13.00 
UNIVERSAL POWER COMPANY LTD,1035,118.00,108.00,118.00,319774.00,37370196.00,108.00,10.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,89,1170.00,1135.00,1149.00,3427.00,3938204.00,1142.00,7.00 
Upper Tamakoshi Hydropower Ltd,1592,286.00,260.00,284.00,307414.00,85934881.00,260.00,24.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,47,1011.00,917.00,972.00,3424.00,3245212.00,924.00,48.00 
