Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Nepal SBI Bank Debenture 2086,1,1029.00,1029.00,1029.00,25.00,25725.00,1050.00,-21.00 
10.25% NIC Asia Debenture 2083/84,1,1030.00,1030.00,1030.00,50.00,51500.00,1010.00,20.00 
10.25% Sunrise Bank Debenture 2083,1,1020.00,1020.00,1020.00,100.00,102000.00,1022.00,-2.00 
10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1031.00,1031.00,1031.00,25.00,25775.00,1031.00,0.00 
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,221,770.00,740.00,754.00,8523.00,6464973.00,745.00,9.00 
Agriculture Development Bank Limited,326,451.00,428.00,437.00,99827.00,43278327.00,430.00,7.00 
Ajod Insurance Limited,859,534.00,520.00,524.00,18783.00,9861115.00,524.00,0.00 
Ankhu Khola Jalvidhyut Company Ltd,84,90.00,86.00,90.00,5240.00,471420.00,82.00,8.00 
Api Power Company Ltd.,1103,171.00,155.00,171.00,391678.00,65410480.00,156.00,15.00 
Arun Kabeli Power Ltd.,666,208.00,192.00,204.00,276619.00,56060799.00,194.00,10.00 
Arun Valley Hydropower Development Co. Ltd.,715,178.00,159.00,178.00,347412.00,59664658.00,162.00,16.00 
Asha Laghubitta Bittiya Sanstha Ltd,413,959.00,878.00,894.00,24297.00,21735744.00,891.00,3.00 
Asian Life Insurance Co. Limited,190,770.00,748.00,749.00,53177.00,40191703.00,760.00,-11.00 
Bank of Kathmandu Ltd.,412,259.00,247.00,254.00,124827.00,31534742.00,247.00,7.00 
Barun Hydropower Co. Ltd.,175,145.00,135.00,145.00,44231.00,6319935.00,132.00,13.00 
Best Finance Company Ltd.,139,116.00,101.00,116.00,33350.00,3803404.00,106.00,10.00 
Bishal Bazar Company Limited,27,1712.00,1585.00,1712.00,926.00,1529041.00,1650.00,62.00 
Bottlers Nepal (Terai) Limited,1,6582.00,6582.00,6582.00,10.00,65820.00,6680.00,-98.00 
Butwal Power Company Limited,672,429.00,400.00,420.00,139484.00,58448942.00,403.00,17.00 
Central Finance Co. Ltd.,105,139.00,127.00,139.00,32368.00,4325496.00,127.00,12.00 
Century Commercial Bank Ltd.,676,188.00,171.00,183.00,197064.00,35470479.00,172.00,11.00 
Chhimek Laghubitta Bikas Bank Limited,195,1129.00,1095.00,1118.00,49495.00,55183329.00,1115.00,3.00 
Chhyangdi Hydropower Ltd.,130,135.00,125.00,135.00,26758.00,3602319.00,123.00,12.00 
Chilime Hydropower Company Limited,858,535.00,486.00,521.00,205241.00,106167722.00,491.00,30.00 
Citizen Bank International Limited,462,205.00,194.00,203.00,112827.00,22524021.00,196.00,7.00 
Citizen Investment Trust,177,3450.00,3400.00,3439.00,9607.00,32977358.00,3400.00,39.00 
Citizens Mutual Fund -1,13,11.35,11.21,11.30,33100.00,373785.00,11.33,-0.03 
Civil Bank Ltd,473,153.00,145.00,150.00,240237.00,35759663.00,145.00,5.00 
