Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Prabhu Bank Debenture 2084 ,10,1026.00,1000.00,1026.00,195.00,199625.00,0.00,1026.00 
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,1050.00,1050.00,1050.00,50.00,52500.00,1050.00,0.00 
11% NIC Asia Debenture 082/83,1,1152.00,1152.00,1152.00,50.00,57600.00,1175.00,-23.00 
Agriculture Development Bank Limited,172,475.00,468.00,470.00,80125.00,37687124.00,472.00,-2.00 
Ajod Insurance Limited,414,536.00,510.00,517.00,9831.00,5058510.00,511.00,6.00 
Ankhu Khola Jalvidhyut Company Ltd,148,129.00,125.00,126.00,7691.00,972192.00,129.00,-3.00 
Api Power Company Ltd.,674,288.00,267.00,273.00,357956.00,97468491.00,275.00,-2.00 
Arun Kabeli Power Ltd.,421,291.00,272.00,277.00,293155.00,81450627.00,278.00,-1.00 
Arun Valley Hydropower Development Co. Ltd.,453,273.00,253.00,253.00,199277.00,50988884.00,260.00,-7.00 
Asha Laghubitta Bittiya Sanstha Ltd,52,911.00,850.00,857.00,1278.00,1101621.00,868.00,-11.00 
Asian Life Insurance Co. Limited,470,800.00,762.00,800.00,114912.00,89812539.00,761.00,39.00 
Bank of Kathmandu Ltd.,376,295.00,290.00,291.00,92014.00,26880089.00,291.00,0.00 
Barun Hydropower Co. Ltd.,180,224.00,208.00,219.00,42708.00,9440424.00,218.00,1.00 
Best Finance Company Ltd.,105,147.00,139.00,144.00,41099.00,5938207.00,146.00,-2.00 
Bishal Bazar Company Limited,46,2400.00,2259.00,2275.00,1000.00,2308935.00,2385.00,-110.00 
Bottlers Nepal (Terai) Limited,6,7497.00,7348.00,7350.00,70.00,518670.00,7350.00,0.00 
Butwal Power Company Limited,184,414.00,410.00,412.00,32577.00,13392580.00,411.00,1.00 
Central Finance Co. Ltd.,65,174.00,166.00,173.00,24835.00,4206238.00,166.00,7.00 
Century Commercial Bank Ltd.,217,195.00,191.00,193.00,83155.00,15997283.00,191.00,2.00 
Chhimek Laghubitta Bikas Bank Limited,137,1202.00,1195.00,1198.00,19881.00,23817639.00,1190.00,8.00 
Chhimek Laghubitta Bikas Bank Limited Promoter Share,1,570.00,570.00,570.00,10000.00,5700000.00,570.00,0.00 
Chhyangdi Hydropower Ltd.,65,171.00,166.00,169.00,5226.00,882343.00,168.00,1.00 
Chilime Hydropower Company Limited,104,519.00,514.00,517.00,21314.00,11001790.00,516.00,1.00 
Citizen Bank International Limited,344,234.00,230.00,231.00,111310.00,25696063.00,231.00,0.00 
Citizen Investment Trust,482,4109.00,3985.00,4109.00,19886.00,80043688.00,3964.00,145.00 
Citizens Mutual Fund -1,11,10.00,9.65,9.98,24040.00,239204.30,9.79,0.19 
Civil Bank Ltd,167,174.00,171.00,174.00,60655.00,10484943.00,172.00,2.00 
Civil Laghubitta Bittiya Sanstha Ltd.,29,734.00,720.00,727.00,1369.00,998575.00,729.00,-2.00 
Corporate Development Bank Limited,28,242.00,220.00,242.00,2115.00,506490.00,220.00,22.00 
Deprosc Laghubitta Bittiya Sanstha Limited,244,1053.00,1016.00,1024.00,34349.00,35476016.00,1033.00,-9.00 
