Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Dibyashwori Hydropower Ltd.,91,131.00,126.00,127.00,17956.00,2283636.00,129.00,-2.00 
Everest Bank Limited,520,663.00,640.00,652.00,76332.00,49846822.00,647.00,5.00 
Everest Bank Limited Con. Pref.,4,642.00,630.00,642.00,42.00,26820.00,642.00,0.00 
Everest Insurance Co. Ltd.,182,550.00,528.00,540.00,43599.00,23600198.00,531.00,9.00 
Excel Development Bank Ltd.,28,326.00,319.00,326.00,6664.00,2151103.00,320.00,6.00 
First Micro Finance Development Bank Ltd.,182,620.00,606.00,612.00,39760.00,24465876.00,608.00,4.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,68,1655.00,1630.00,1635.00,3506.00,5758391.00,1623.00,12.00 
Ganapati Microfinance Bittiya Sanstha Limited,56,890.00,872.00,889.00,2454.00,2161217.00,886.00,3.00 
Garima Bikas Bank Limited,158,266.00,260.00,263.00,53641.00,14028719.00,259.00,4.00 
General Insurance Company Nepal Ltd,754,541.00,529.00,540.00,21930.00,11726870.00,531.00,9.00 
Ghalemdi Hydro Limited,119,143.00,131.00,139.00,7145.00,988480.00,137.00,2.00 
Global IME Bank Limited,485,295.00,292.00,293.00,115373.00,33814794.00,293.00,0.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,47,1417.00,1335.00,1403.00,2837.00,3874776.00,1351.00,52.00 
Global IME Samunnat Scheme-1,20,10.30,9.95,9.95,62961.00,632513.95,10.14,-0.19 
Goodwill Finance Co. Ltd.,27,200.00,197.00,200.00,6720.00,1336830.00,199.00,1.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,130,553.00,547.00,550.00,26659.00,14682887.00,555.00,-5.00 
Green Development Bank Ltd.,68,161.00,152.00,158.00,14761.00,2264787.00,157.00,1.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,57,194.00,183.00,184.00,157014.00,29113840.00,183.00,1.00 
Gurans Laghubitta Bittiya Sanstha Limited,71,776.00,740.00,766.00,2312.00,1756610.00,733.00,33.00 
Gurans Life Insurance Company Ltd.,392,608.00,584.00,608.00,72586.00,43439987.00,584.00,24.00 
Gurkhas Finance Ltd.,73,172.00,165.00,169.00,43225.00,7262307.00,169.00,0.00 
Himal Dolakha Hydropower Company Limited,417,157.00,151.00,154.00,285649.00,43846271.00,151.00,3.00 
Himalaya Urja Bikas Company Limited,110,214.00,201.00,209.00,12245.00,2544555.00,211.00,-2.00 
Himalayan Bank Limited,61,590.00,581.00,586.00,5460.00,3194843.00,583.00,3.00 
Himalayan Distillery Limited,562,2320.00,2170.00,2278.00,91668.00,208348811.00,2190.00,88.00 
Himalayan General Insurance Co. Ltd,579,542.00,507.00,541.00,117206.00,62167608.00,509.00,32.00 
Himalayan Power Partner Ltd.,130,231.00,223.00,230.00,6367.00,1443835.00,225.00,5.00 
Hydorelectricity Investment and Development Company Ltd,448,243.00,235.00,239.00,199944.00,47661323.00,237.00,2.00 
ICFC Finance Limited,81,317.00,311.00,314.00,39090.00,12244192.00,312.00,2.00 
IME General Insurance Ltd.,91,545.00,531.00,536.00,25694.00,13813221.00,533.00,3.00 
Infinity Laghubitta Bittiya Sanstha Limited,95,885.00,861.00,869.00,5407.00,4716577.00,868.00,1.00 
Janaki Finance Ltd.,158,230.00,220.00,226.00,52737.00,11913885.00,220.00,6.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,19,1409.00,1394.00,1409.00,1038.00,1453672.00,1380.00,29.00 
Joshi Hydropower Development Company Ltd,99,129.00,126.00,128.00,5220.00,665550.00,130.00,-2.00 
Jyoti Bikas Bank Limited,182,212.00,207.00,209.00,55606.00,11607251.00,208.00,1.00 
Kalika Microcredit Development Bank Ltd.,58,787.00,770.00,780.00,1820.00,1408597.00,787.00,-7.00 
Kalika power Company Ltd,178,221.00,210.00,217.00,29225.00,6311020.00,216.00,1.00 
Kamana Sewa Bikas Bank Limited,1606,250.00,232.00,233.00,700104.00,168782617.00,236.00,-3.00 
Karnali Development Bank Limited,27,146.00,143.00,144.00,4999.00,720234.00,145.00,-1.00 
Khanikhola Hydropower Co. Ltd.,70,126.00,122.00,123.00,4505.00,562217.00,124.00,-1.00 
Kisan Lagubitta Bittiya Sanstha Limited,11,1089.00,1070.00,1083.00,765.00,822529.00,1095.00,-12.00 
Kumari Bank Limited,525,245.00,235.00,237.00,243648.00,57622953.00,238.00,-1.00 
Laxmi Bank Limited,178,270.00,264.00,267.00,56388.00,14990365.00,266.00,1.00 
Laxmi Equity Fund,6,9.43,9.30,9.31,12200.00,114752.00,9.43,-0.12 
Laxmi Laghubitta Bittiya Sanstha Ltd.,38,1249.00,1210.00,1218.00,5366.00,6539794.00,1215.00,3.00 
Laxmi Unnati Kosh,15,9.57,9.36,9.50,4020.00,38035.40,9.51,-0.01 
Liberty Energy Company Limited,250,215.00,211.00,211.00,14990.00,3194228.00,213.00,-2.00 
Life Insurance Co. Nepal,186,1563.00,1501.00,1562.00,20586.00,31701284.00,1490.00,72.00 
Lumbini Bikas Bank Ltd.,98,220.00,216.00,217.00,20151.00,4381232.00,217.00,0.00 
Lumbini General Insurance Co. Ltd.,115,538.00,515.00,538.00,16482.00,8714155.00,517.00,21.00 
Machhapuchhre Bank Limited,132,229.00,227.00,229.00,72344.00,16456163.00,227.00,2.00 
Mahalaxmi Bikas Bank Ltd.,93,233.00,228.00,231.00,19896.00,4574187.00,228.00,3.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,11,740.00,726.00,732.00,492.00,360878.00,737.00,-5.00 
Manjushree Finance Ltd.,114,344.00,331.00,334.00,40351.00,13603589.00,332.00,2.00 
Mega  Bank Nepal Ltd.,265,237.00,233.00,233.00,80012.00,18730156.00,234.00,-1.00 
Mega  Bank Nepal Ltd. Promoter Share,1,126.00,126.00,126.00,3000.00,378000.00,126.00,0.00 
Mero Microfinance Bittiya Sanstha Ltd.,119,777.00,765.00,768.00,11616.00,8924603.00,764.00,4.00 
Mirmire Microfinance Development Bank Ltd.,43,969.00,939.00,940.00,6294.00,5951043.00,954.00,-14.00 
Miteri Development Bank Limited,37,380.00,375.00,377.00,6466.00,2443779.00,380.00,-3.00 
Mithila LaghuBitta Bittiya Sanstha Limited,328,1038.00,952.00,954.00,30727.00,30016658.00,952.00,2.00 
Mountain Hydro Nepal Limited,81,213.00,206.00,208.00,14890.00,3110250.00,212.00,-4.00 
Muktinath Bikas Bank Ltd.,160,365.00,358.00,362.00,31273.00,11311416.00,359.00,3.00 
Multipurpose Finance Company  Limited,47,151.00,144.00,144.00,15698.00,2309416.00,145.00,-1.00 
NABIL BALANCED FUND-2,24,9.50,9.40,9.45,62940.00,597695.00,9.56,-0.11 
Nabil Bank Limited,236,890.00,865.00,879.00,29034.00,25457758.00,862.00,17.00 
Nabil Equity Fund,18,9.50,9.32,9.41,22568.00,212515.02,9.51,-0.10 
Nadep Laghubittiya bittya Sanstha Ltd.,69,740.00,722.00,739.00,3429.00,2514923.00,735.00,4.00 
National Hydro Power Company Limited,352,120.00,114.00,117.00,227836.00,26703301.00,118.00,-1.00 
National Life Insurance Co. Ltd.,705,827.00,781.00,816.00,206903.00,167141766.00,775.00,41.00 
National Microfinance Bittiya Sanstha Ltd.,21,1640.00,1625.00,1640.00,986.00,1607533.00,1633.00,7.00 
Neco Insurance Co. Ltd.,164,823.00,807.00,822.00,23224.00,19017004.00,810.00,12.00 
Nepal Bangladesh Bank Limited,195,228.00,225.00,227.00,77610.00,17555012.00,225.00,2.00 
Nepal Bank Limited,255,349.00,333.00,337.00,89510.00,30072124.00,333.00,4.00 
Nepal Credit And Commercial Bank Limited,117,232.00,229.00,231.00,47833.00,11017607.00,229.00,2.00 
Nepal Doorsanchar Comapany Limited,773,869.00,795.00,865.00,249554.00,206443872.00,790.00,75.00 
Nepal Finance Ltd.,16,275.00,272.00,275.00,2404.00,659988.00,274.00,1.00 
Nepal Hydro Developers Ltd.,34,253.00,252.00,252.00,890.00,224880.00,257.00,-5.00 
Nepal Insurance Co. Ltd.,153,564.00,551.00,560.00,39224.00,21838771.00,546.00,14.00 
Nepal Investment Bank Limited,208,426.00,422.00,423.00,23219.00,9831628.00,423.00,0.00 
Nepal Investment Bank Ltd. Promoter Share,35,378.00,370.00,370.00,20491.00,7651272.00,373.00,-3.00 
Nepal Life Insurance Co. Ltd.,1307,1531.00,1425.00,1496.00,160848.00,235844168.00,1421.00,75.00 
Nepal Reinsurance Company Limited,2775,1000.00,951.00,961.00,292752.00,285332151.00,969.00,-8.00 
Nepal SBI Bank Limited,91,425.00,419.00,423.00,21339.00,8982792.00,420.00,3.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,20,728.00,711.00,716.00,340.00,244100.00,721.00,-5.00 
Nerude Laghubita Bikas Bank Limited,73,840.00,815.00,817.00,11782.00,9664211.00,811.00,6.00 
Ngadi Group Power Ltd.,131,227.00,218.00,222.00,42294.00,9376258.00,221.00,1.00 
NIBL Pragati Fund,9,9.75,9.58,9.75,12303.00,119180.49,9.72,0.03 
NIBL Samriddhi Fund 1,3,10.25,10.12,10.25,6500.00,66445.00,10.30,-0.05 
NIC Asia Balanced Fund,11,9.65,9.53,9.56,5100.00,48989.00,9.70,-0.14 
NIC Asia Bank Ltd.,383,624.00,617.00,619.00,95856.00,59488516.00,618.00,1.00 
NIC Asia Growth Fund,14,10.35,10.10,10.10,16200.00,165369.00,10.15,-0.05 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,110,1038.00,1018.00,1029.00,6919.00,7121481.00,1030.00,-1.00 
NLG Insurance Company Ltd.,157,691.00,678.00,683.00,12184.00,8319772.00,665.42,17.58 
NMB  Microfinance Bittiya Sanstha Ltd.,214,878.00,853.00,869.00,20698.00,17928509.00,837.00,32.00 
NMB 50,7,9.62,9.51,9.62,3000.00,28616.00,9.60,0.02 
NMB Bank Limited,605,420.00,412.00,417.00,175699.00,72896796.00,415.00,2.00 
NMB Hybrid Fund L-1,6,9.76,9.57,9.76,17285.00,168091.01,9.72,0.04 
NRN Infrastructure and Development Limited,477,360.00,350.00,353.00,13169.00,4649869.00,353.00,0.00 
Oriental Hotels Limited,199,413.00,388.00,409.00,41397.00,16479332.00,383.00,26.00 
Panchakanya Mai Hydropower Ltd,141,153.00,146.00,150.00,7266.00,1086279.00,150.00,0.00 
Panchthar Power Compant Limited,127,222.00,212.00,222.00,7185.00,1562000.00,220.00,2.00 
Pokhara Finance Ltd.,101,204.00,191.00,195.00,21628.00,4263953.00,195.00,0.00 
Prabhu  Bank Limited,580,275.00,268.00,273.00,319087.00,87078290.00,270.00,3.00 
Prabhu Insurance Ltd.,198,615.00,600.00,614.00,40239.00,24456292.00,597.00,17.00 
Premier Insurance Co. Ltd.,143,790.00,770.00,784.00,14533.00,11342186.00,770.00,14.00 
Prime Commercial Bank Ltd.,475,354.00,339.00,341.00,141470.00,48207918.00,338.00,3.00 
Prime Life Insurance Company Limited,526,715.00,690.00,714.00,145601.00,102712790.00,689.00,25.00 
ProgressiveFinance Limited,89,147.00,137.00,142.00,68197.00,9557504.00,145.00,-3.00 
Prudential Insurance Co. Ltd.,143,529.00,517.00,525.00,44782.00,23383740.00,517.00,8.00 
Radhi Bidyut Company Ltd,85,288.00,281.00,288.00,3294.00,939003.00,286.00,2.00 
Rairang Hydropower Development Company Ltd.,158,271.00,245.00,267.00,21342.00,5319300.00,256.00,11.00 
Rastriya Beema Company Limited,57,13679.00,13500.00,13630.00,994.00,13529740.00,13450.00,180.00 
Rastriya Beema Company Limited Promoter Share,44,12700.00,12449.00,12680.00,1052.00,13265452.00,12300.00,380.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,346,224.00,216.00,219.00,91446.00,20077496.00,220.00,-1.00 
Reliance Finance Ltd.,58,184.00,179.00,179.00,35144.00,6332500.00,181.00,-2.00 
Reliance Life Insurance Limited,1776,615.00,591.00,613.00,57450.00,34803806.00,591.00,22.00 
Ridi Hydropower Development Company Ltd.,193,191.00,185.00,187.00,70035.00,13048626.00,190.00,-3.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,112,892.00,877.00,887.00,10468.00,9269950.00,887.00,0.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,118,605.00,577.00,584.00,14297.00,8337983.00,585.00,-1.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,39,912.00,867.00,894.00,738.00,653043.00,898.00,-4.00 
Sadhana Laghubitta Bittiya Sanstha Limited,228,920.00,895.00,903.00,14021.00,12688119.00,913.00,-10.00 
Sagarmatha Insurance Co. Ltd.,32,927.00,909.00,919.00,4007.00,3668954.00,910.00,9.00 
Salt Trading Corporation,75,4950.00,4500.00,4950.00,2478.00,11762819.00,4500.00,450.00 
Samriddhi Finance Company Limited,40,144.00,140.00,140.00,5447.00,772670.00,140.00,0.00 
Samudayik Laghubitta Bittiya Sanstha Limited,42,810.00,790.00,802.00,1603.00,1282334.00,801.00,1.00 
Sana Kisan Bikas Bank Ltd,137,1453.00,1440.00,1446.00,17014.00,24622433.00,1443.00,3.00 
Sanima Bank Limited,303,316.00,307.00,312.00,76038.00,23574514.00,309.00,3.00 
Sanima Bank Limited Debenture,4,1055.00,1035.00,1055.00,125.00,130750.00,1055.00,0.00 
Sanima Equity Fund,28,10.65,10.45,10.46,36200.00,381268.00,10.45,0.01 
Sanima General Insurance Limited,47,499.00,463.00,499.00,470.00,233630.00,454.00,45.00 
Sanima Mai Hydropower Ltd.,117,354.00,350.00,353.00,64009.00,22567950.00,353.00,0.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,310,211.00,204.00,207.00,40356.00,8371372.00,205.00,2.00 
Saptakoshi Development Bank Ltd,51,167.00,161.00,167.00,10109.00,1671231.00,164.00,3.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,40,938.00,925.00,927.00,5287.00,4911522.00,930.00,-3.00 
Shangrila Development Bank Ltd.,45,193.00,184.00,186.00,9568.00,1782715.00,190.00,-4.00 
Shikhar Insurance Co. Ltd.,162,1427.00,1401.00,1415.00,23639.00,33463830.00,1415.00,0.00 
Shine Resunga Development Bank Ltd.,95,271.00,266.00,266.00,21577.00,5772705.00,266.00,0.00 
Shiva Shree Hydropower Ltd,185,164.00,158.00,159.00,148395.00,23770335.00,162.00,-3.00 
SHIVAM CEMENTS LTD,480,800.00,774.00,781.00,117262.00,92550810.00,770.00,11.00 
Shree Investment Finance Co. Ltd.,40,215.00,203.00,206.00,11880.00,2448545.00,205.00,1.00 
Siddhartha Bank Limited,230,340.00,331.00,334.00,73892.00,24598602.00,335.00,-1.00 
Siddhartha Equity Fund,32,10.10,9.92,10.00,86660.00,867311.00,10.12,-0.12 
Siddhartha Insurance Ltd.,117,779.00,758.00,775.00,24745.00,19113757.00,763.00,12.00 
Sindhu Bikash Bank Ltd,97,175.00,166.00,172.00,63566.00,10850020.00,173.00,-1.00 
Soaltee Hotel Limited,221,201.00,190.00,199.00,84510.00,16377079.00,190.00,9.00 
Standard Chartered Bank Limited,234,633.00,624.00,629.00,22741.00,14299232.00,623.00,6.00 
Summit Laghubitta Bittiya Sanstha Limited,47,910.00,882.00,895.00,7514.00,6695794.00,895.00,0.00 
Sunrise Bank Limited,131,260.00,255.00,255.00,46608.00,11906662.00,255.00,0.00 
Sunrise First Mutual Fund,4,10.00,9.90,9.90,2100.00,20900.00,10.00,-0.10 
Support Microfinance Bittiya Sanstha Ltd.,35,921.00,876.00,876.00,1153.00,1018878.00,878.00,-2.00 
Surya Life Insurance Company Limited,755,664.00,634.00,662.00,160883.00,105150784.00,632.00,30.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,43,965.00,950.00,959.00,1976.00,1882460.00,971.00,-12.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,105,1395.00,1362.00,1367.00,7856.00,10760579.00,1355.00,12.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,29,1058.00,1040.00,1043.00,587.00,614319.00,1038.00,5.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,66,905.00,885.00,888.00,7918.00,7046263.00,888.00,0.00 
Synergy Power Development Ltd.,124,244.00,232.00,236.00,35168.00,8334290.00,236.00,0.00 
Taragaon Regency Hotel Limited,200,271.00,255.00,268.00,44761.00,11853850.00,254.00,14.00 
Unilever Nepal Limited,10,18000.00,17800.00,17800.00,150.00,2683560.00,17801.00,-1.00 
Union Hydropower Limited,101,137.00,128.00,131.00,26032.00,3393632.00,133.00,-2.00 
United Finance Ltd.,26,245.00,237.00,241.00,4864.00,1175671.00,238.00,3.00 
United Insurance Co. (Nepal) Ltd.,209,439.00,421.00,437.00,44230.00,19129322.00,423.00,14.00 
United Modi Hydropower Ltd.,176,181.00,175.00,178.00,76935.00,13605481.00,181.00,-3.00 
UNIVERSAL POWER COMPANY LTD,318,153.00,147.00,151.00,124045.00,18592420.00,150.00,1.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,23,1130.00,1116.00,1126.00,1781.00,1998255.00,1123.00,3.00 
Upper Tamakoshi Hydropower Ltd,337,299.00,295.00,296.00,52170.00,15434420.00,296.00,0.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,63,979.00,956.00,960.00,4540.00,4365965.00,986.00,-26.00 
