Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10.25% KBL Debenture 2086,1,1035.00,1035.00,1035.00,25.00,25875.00,1035.00,0.00 
10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1060.00,1060.00,1060.00,30.00,31800.00,1050.00,10.00 
Agriculture Development Bank Limited,557,483.00,471.00,472.00,114747.00,54794941.00,473.00,-1.00 
Ajod Insurance Limited,416,516.00,509.00,510.00,9566.00,4886130.00,514.00,-4.00 
Ankhu Khola Jalvidhyut Company Ltd,184,122.00,114.00,118.00,9870.00,1165079.00,120.00,-2.00 
Api Power Company Ltd.,510,231.00,225.00,227.00,239983.00,54640876.00,227.00,0.00 
Arun Kabeli Power Ltd.,242,266.00,258.00,261.00,144749.00,37794276.00,261.00,0.00 
Arun Valley Hydropower Development Co. Ltd.,157,242.00,232.00,233.00,75411.00,17569061.00,239.00,-6.00 
Asha Laghubitta Bittiya Sanstha Ltd,56,815.00,800.00,805.00,1116.00,900309.00,805.00,0.00 
Asian Life Insurance Co. Limited,54,745.00,737.00,737.00,8616.00,6380225.00,736.00,1.00 
Bank of Kathmandu Ltd.,621,294.00,284.00,287.00,201489.00,58045850.00,288.00,-1.00 
Barun Hydropower Co. Ltd.,71,196.00,185.00,190.00,14381.00,2725441.00,188.00,2.00 
Best Finance Company Ltd.,41,147.00,144.00,146.00,12115.00,1757024.00,147.00,-1.00 
Bishal Bazar Company Limited,17,1760.00,1709.00,1760.00,820.00,1420460.00,1708.00,52.00 
Butwal Power Company Limited,135,418.00,402.00,413.00,25161.00,10376671.00,410.00,3.00 
Central Finance Co. Ltd.,61,173.00,169.00,172.00,16912.00,2884649.00,170.00,2.00 
Century Commercial Bank Ltd.,689,208.00,197.00,201.00,250640.00,50909855.00,205.00,-4.00 
Chhimek Laghubitta Bikas Bank Limited,160,1150.00,1130.00,1138.00,16813.00,19185560.00,1130.00,8.00 
Chhyangdi Hydropower Ltd.,35,161.00,160.00,161.00,1808.00,290138.00,164.00,-3.00 
Chilime Hydropower Company Limited,104,525.00,509.00,513.00,25791.00,13223458.00,519.00,-6.00 
Citizen Bank International Limited,1187,253.00,238.00,239.00,295967.00,71785555.00,241.00,-2.00 
Citizen Investment Trust,186,3794.00,3700.00,3719.00,7569.00,28267320.00,3749.00,-30.00 
Citizens Mutual Fund -1,16,9.89,9.61,9.70,65590.00,642405.00,9.80,-0.10 
Civil Bank Ltd,780,188.00,176.00,178.00,372213.00,66549912.00,182.00,-4.00 
Civil Bank Ltd Promoter Share,1,100.00,100.00,100.00,22141.00,2214100.00,100.00,0.00 
Civil Laghubitta Bittiya Sanstha Ltd.,22,709.00,693.00,693.00,1397.00,975215.00,702.00,-9.00 
Corporate Development Bank Limited,3,200.00,197.00,200.00,80.00,15830.00,198.00,2.00 
Deprosc Laghubitta Bittiya Sanstha Limited,332,920.00,885.00,914.00,52447.00,47352915.00,893.00,21.00 
Dibyashwori Hydropower Ltd.,146,122.00,111.00,121.00,41652.00,4839422.00,115.00,6.00 
Everest Bank Limited,312,754.00,738.00,740.00,43927.00,32742428.00,739.00,1.00 
Everest Bank Limited Con. Pref.,1,631.00,631.00,631.00,12.00,7572.00,639.00,-8.00 
Everest Insurance Co. Ltd.,60,542.00,535.00,536.00,9021.00,4849395.00,538.00,-2.00 
Excel Development Bank Ltd.,39,330.00,317.00,323.00,6889.00,2228938.00,323.00,0.00 
First Micro Finance Development Bank Ltd.,89,587.00,577.00,583.00,12873.00,7499641.00,573.00,10.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,23,1574.00,1560.00,1570.00,1376.00,2151830.00,1571.00,-1.00 
Ganapati Microfinance Bittiya Sanstha Limited,31,830.00,816.00,830.00,799.00,658009.00,830.00,0.00 
Garima Bikas Bank Limited,334,284.00,273.00,275.00,80567.00,22481415.00,276.00,-1.00 
General Insurance Company Nepal Ltd,4428,578.00,560.00,563.00,46660.00,26228800.00,578.00,-15.00 
Ghalemdi Hydro Limited,105,129.00,121.00,126.00,6131.00,752425.00,125.00,1.00 
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,10,799.00,769.00,780.00,100.00,78080.00,800.00,-20.00 
Global IME Bank Limited,1711,307.00,297.00,299.00,402254.00,120910938.00,301.00,-2.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,40,1275.00,1240.00,1265.00,3457.00,4337693.00,1250.00,15.00 
Global IME Samunnat Scheme-1,9,9.99,9.84,9.90,35397.00,350116.30,9.84,0.06 
