Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Goodwill Finance Co. Ltd.,43,206.00,199.00,200.00,8259.00,1662710.00,203.00,-3.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,117,535.00,518.00,526.00,16002.00,8449646.00,525.00,1.00 
Green Development Bank Ltd.,75,165.00,156.00,159.00,13190.00,2087735.00,163.00,-4.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,31,197.00,183.00,185.00,13195.00,2447800.00,188.00,-3.00 
Gurans Laghubitta Bittiya Sanstha Limited,21,710.00,695.00,702.00,385.00,270320.00,705.00,-3.00 
Gurans Life Insurance Company Ltd.,61,625.00,615.00,620.00,6558.00,4077508.00,617.00,3.00 
Gurkhas Finance Ltd.,72,164.00,150.00,156.00,24923.00,3791078.00,157.00,-1.00 
Himal Dolakha Hydropower Company Limited,526,144.00,136.00,140.00,263536.00,37042164.00,137.00,3.00 
Himalaya Urja Bikas Company Limited,171,181.00,170.00,180.00,13936.00,2473784.00,172.00,8.00 
Himalayan Bank Limited,181,625.00,612.00,615.00,23007.00,14200433.00,614.00,1.00 
Himalayan Distillery Limited,105,1902.00,1857.00,1875.00,15854.00,29885863.00,1869.00,6.00 
Himalayan General Insurance Co. Ltd,69,515.00,504.00,512.00,13431.00,6865076.00,508.00,4.00 
Himalayan Power Partner Ltd.,132,218.00,212.00,215.00,14024.00,3023879.00,214.00,1.00 
Hydorelectricity Investment and Development Company Ltd,697,212.00,196.00,205.00,230651.00,47245193.00,198.00,7.00 
ICFC Finance Limited,108,302.00,290.00,298.00,43027.00,12813795.00,295.00,3.00 
IME General Insurance Ltd.,15,540.00,533.00,537.00,3636.00,1954881.00,537.00,0.00 
Infinity Laghubitta Bittiya Sanstha Limited,51,830.00,810.00,823.00,3002.00,2458936.00,820.00,3.00 
Janaki Finance Ltd.,56,225.00,218.00,220.00,9506.00,2104443.00,220.00,0.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,15,1356.00,1333.00,1343.00,557.00,751686.00,1358.00,-15.00 
Joshi Hydropower Development Company Ltd,135,126.00,118.00,123.00,8025.00,986500.00,124.00,-1.00 
Jyoti Bikas Bank Limited,366,223.00,215.00,217.00,129943.00,28216911.00,218.00,-1.00 
Kalika Microcredit Development Bank Ltd.,57,741.00,715.00,740.00,1241.00,908740.00,729.00,11.00 
Kalika power Company Ltd,133,180.00,172.00,178.00,4580.00,808960.00,180.00,-2.00 
Kamana Sewa Bikas Bank Limited,170,242.00,229.00,232.00,71382.00,16569787.00,234.00,-2.00 
Karnali Development Bank Limited,60,151.00,145.00,147.00,11917.00,1746730.00,149.00,-2.00 
Khanikhola Hydropower Co. Ltd.,101,124.00,116.00,124.00,7313.00,876768.00,122.00,2.00 
Kisan Lagubitta Bittiya Sanstha Limited,15,1021.00,999.00,1020.00,454.00,458826.00,1001.00,19.00 
Kumari Bank Limited,775,250.00,238.00,239.00,339092.00,82121476.00,246.00,-7.00 
Laxmi Bank Limited,401,299.00,281.00,281.00,120263.00,34317460.00,289.00,-8.00 
Laxmi Equity Fund,12,9.30,9.17,9.24,38000.00,350729.00,9.20,0.04 
Laxmi Laghubitta Bittiya Sanstha Ltd.,25,1135.00,1121.00,1130.00,2352.00,2654717.00,1124.00,6.00 
Laxmi Unnati Kosh,23,9.15,8.97,9.00,6600.00,59627.00,9.15,-0.15 
Liberty Energy Company Limited,372,209.00,203.00,205.00,11183.00,2309148.00,206.00,-1.00 
Life Insurance Co. Nepal,44,1515.00,1496.00,1506.00,3171.00,4761911.00,1498.00,8.00 
Lumbini Bikas Bank Ltd.,256,233.00,225.00,225.00,77103.00,17617955.00,228.00,-3.00 
Lumbini General Insurance Co. Ltd.,64,538.00,525.00,528.00,13896.00,7404617.00,529.00,-1.00 
Machhapuchhre Bank Limited,435,242.00,235.00,236.00,153256.00,36511846.00,237.00,-1.00 
Mahalaxmi Bikas Bank Ltd.,147,242.00,235.00,235.00,61994.00,14735607.00,238.00,-3.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,11,690.00,673.00,687.00,471.00,322283.00,680.00,7.00 
Manjushree Finance Ltd.,109,338.00,330.00,333.00,54894.00,18297139.00,336.00,-3.00 
Mega  Bank Nepal Ltd.,833,252.00,240.00,243.00,243577.00,59850709.00,248.00,-5.00 
Mero Microfinance Bittiya Sanstha Ltd.,96,770.00,755.00,758.00,10173.00,7712645.00,755.00,3.00 
Mirmire Microfinance Development Bank Ltd.,47,903.00,880.00,902.00,4844.00,4348753.00,885.00,17.00 
Miteri Development Bank Limited,80,395.00,385.00,389.00,17125.00,6678124.00,392.00,-3.00 
Mithila LaghuBitta Bittiya Sanstha Limited,26,784.00,745.00,784.00,2474.00,1858665.00,745.00,39.00 
Mountain Hydro Nepal Limited,133,194.00,173.00,190.00,8163.00,1528818.00,182.00,8.00 
Muktinath Bikas Bank Ltd.,287,380.00,365.00,368.00,62086.00,22978086.00,375.00,-7.00 
Muktinath Bikas Bank Ltd. Promoter Share,3,185.00,185.00,185.00,145962.00,27002970.00,182.00,3.00 
Multipurpose Finance Company  Limited,54,148.00,140.00,145.00,11312.00,1632546.00,146.00,-1.00 
NABIL BALANCED FUND-2,31,9.45,9.17,9.34,59210.00,552743.70,9.35,-0.01 
Nabil Bank Limited,468,948.00,898.00,902.00,51398.00,46533552.00,903.00,-1.00 
Nabil Equity Fund,31,9.30,9.15,9.20,117908.00,1093504.85,9.25,-0.05 
Nadep Laghubittiya bittya Sanstha Ltd.,40,679.00,655.00,679.00,1571.00,1054397.00,657.00,22.00 
National Hydro Power Company Limited,285,113.00,108.00,112.00,121973.00,13628211.00,110.00,2.00 
National Life Insurance Co. Ltd.,86,788.00,771.00,777.00,19491.00,15135355.00,773.00,4.00 
National Microfinance Bittiya Sanstha Ltd.,35,1585.00,1548.00,1580.00,830.00,1295912.00,1579.00,1.00 
Neco Insurance Co. Ltd.,145,829.00,817.00,823.00,21350.00,17575974.00,815.00,8.00 
Nepal Bangladesh Bank Limited,587,248.00,234.00,236.00,180653.00,43029175.00,240.00,-4.00 
Nepal Bank Limited,862,356.00,345.00,348.00,295349.00,102909890.00,349.00,-1.00 
Nepal Credit And Commercial Bank Limited,400,246.00,237.00,238.00,126675.00,30621808.00,242.00,-4.00 
Nepal Doorsanchar Comapany Limited,176,739.00,721.00,737.00,52970.00,38804242.00,727.00,10.00 
Nepal Finance Ltd.,20,250.00,239.00,250.00,2598.00,649290.00,228.00,22.00 
Nepal Hydro Developers Ltd.,46,258.00,245.00,258.00,2240.00,555930.00,253.00,5.00 
Nepal Insurance Co. Ltd.,59,560.00,549.00,555.00,8379.00,4638198.00,558.00,-3.00 
Nepal Investment Bank Limited,562,450.00,439.00,440.00,76618.00,33991920.00,439.00,1.00 
Nepal Investment Bank Ltd. Promoter Share,156,400.00,386.00,387.00,27913.00,10926202.00,403.00,-16.00 
Nepal Life Insurance Co. Ltd.,320,1485.00,1401.00,1414.00,24816.00,35153078.00,1415.00,-1.00 
Nepal Reinsurance Company Limited,677,881.00,861.00,865.00,51890.00,45237063.00,867.00,-2.00 
Nepal SBI Bank Limited,227,460.00,444.00,446.00,47151.00,21243254.00,446.00,0.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,12,699.00,673.00,699.00,381.00,260926.00,673.00,26.00 
Nerude Laghubita Bikas Bank Limited,30,760.00,752.00,753.00,3749.00,2831880.00,758.00,-5.00 
Ngadi Group Power Ltd.,100,205.00,195.00,202.00,13359.00,2674573.00,198.00,4.00 
NIBL Pragati Fund,20,9.73,9.31,9.31,67058.00,639839.80,9.57,-0.26 
NIBL Samriddhi Fund 1,3,9.96,9.95,9.95,10000.00,99530.00,10.01,-0.06 
NIC Asia Balanced Fund,8,9.31,9.21,9.25,12300.00,113952.00,9.28,-0.03 
NIC Asia Bank Ltd.,704,629.00,617.00,620.00,190125.00,118199396.00,617.00,3.00 
NIC Asia Growth Fund,16,9.75,9.66,9.75,20500.00,199006.00,9.85,-0.10 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,37,993.00,985.00,990.00,3918.00,3881289.00,991.00,-1.00 
NLG Insurance Company Ltd.,65,724.00,713.00,724.00,5908.00,4248897.00,712.00,12.00 
NMB  Microfinance Bittiya Sanstha Ltd.,63,835.00,815.00,824.00,7093.00,5877837.00,819.00,5.00 
NMB 50,2,9.20,9.05,9.05,1100.00,10105.00,9.20,-0.15 
NMB Bank Limited,964,440.00,431.00,433.00,284334.00,123675339.00,432.00,1.00 
NMB Hybrid Fund L-1,7,9.50,9.40,9.40,8849.00,83513.50,9.50,-0.10 
NRN Infrastructure and Development Limited,548,353.00,340.00,350.00,16375.00,5722450.00,351.00,-1.00 
Oriental Hotels Limited,36,380.00,375.00,380.00,4112.00,1548070.00,375.00,5.00 
Panchakanya Mai Hydropower Ltd,119,144.00,136.00,140.00,3200.00,449720.00,139.00,1.00 
Panchthar Power Compant Limited,80,182.00,176.00,179.00,2870.00,512270.00,182.00,-3.00 
Pokhara Finance Ltd.,85,203.00,188.00,190.00,11274.00,2162955.00,194.00,-4.00 
Prabhu  Bank Limited,1692,275.00,262.00,265.00,507006.00,135966393.00,268.00,-3.00 
Prabhu Insurance Ltd.,94,610.00,598.00,604.00,14968.00,9011696.00,599.00,5.00 
Premier Insurance Co. Ltd.,114,800.00,780.00,787.00,17153.00,13518354.00,783.00,4.00 
Prime Commercial Bank Ltd.,1290,344.00,328.00,334.00,410848.00,137801306.00,333.00,1.00 
Prime Life Insurance Company Limited,66,675.00,656.00,668.00,11810.00,7899204.00,666.00,2.00 
ProgressiveFinance Limited,128,148.00,139.00,141.00,75657.00,10734043.00,141.00,0.00 
Prudential Insurance Co. Ltd.,56,536.00,515.00,530.00,12658.00,6701218.00,525.00,5.00 
Radhi Bidyut Company Ltd,47,280.00,274.00,280.00,941.00,260594.00,284.00,-4.00 
Rairang Hydropower Development Company Ltd.,114,204.00,193.00,200.00,10320.00,2030000.00,198.00,2.00 
Rastriya Beema Company Limited,62,12500.00,12021.00,12176.00,1338.00,16405753.00,12061.00,115.00 
Rastriya Beema Company Limited Promoter Share,54,11299.00,10805.00,11000.00,1420.00,15655360.00,10995.00,5.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,310,223.00,210.00,216.00,26916.00,5796474.00,216.00,0.00 
Reliance Finance Ltd.,71,189.00,181.00,182.00,21291.00,3912721.00,180.00,2.00 
Reliance Life Insurance Limited,1426,600.00,590.00,592.00,26470.00,15681700.00,598.00,-6.00 
Ridi Hydropower Development Company Ltd.,113,188.00,176.00,184.00,22961.00,4185767.00,177.00,7.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,50,873.00,866.00,869.00,10904.00,9482562.00,873.00,-4.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,77,562.00,547.00,551.00,5955.00,3278496.00,552.00,-1.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,56,880.00,854.00,880.00,1489.00,1293301.00,876.00,4.00 
Sadhana Laghubitta Bittiya Sanstha Limited,110,836.00,812.00,826.00,2370.00,1964230.00,820.00,6.00 
Sagarmatha Insurance Co. Ltd.,36,934.00,916.00,916.00,3085.00,2857346.00,920.00,-4.00 
Salt Trading Corporation,16,3640.00,3590.00,3620.00,876.00,3161870.00,3580.00,40.00 
Samriddhi Finance Company Limited,37,147.00,139.00,140.00,5185.00,724045.00,140.00,0.00 
Samudayik Laghubitta Bittiya Sanstha Limited,25,769.00,756.00,759.00,506.00,384290.00,767.00,-8.00 
Sana Kisan Bikas Bank Ltd,73,1410.00,1388.00,1389.00,6259.00,8744028.00,1388.00,1.00 
Sanima Bank Limited,599,365.00,350.00,355.00,149951.00,53372637.00,357.00,-2.00 
Sanima Equity Fund,55,10.70,10.43,10.56,147800.00,1567453.00,10.63,-0.07 
Sanima Mai Hydropower Ltd.,152,348.00,338.00,341.00,86759.00,29697928.00,340.00,1.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,280,199.00,190.00,196.00,16130.00,3158540.00,193.00,3.00 
Saptakoshi Development Bank Ltd,78,168.00,163.00,165.00,16068.00,2670014.00,165.00,0.00 
Shangrila Development Bank Ltd.,218,197.00,187.00,192.00,83156.00,16110029.00,191.00,1.00 
Shikhar Insurance Co. Ltd.,143,1375.00,1350.00,1374.00,19668.00,26827841.00,1350.00,24.00 
Shine Resunga Development Bank Ltd.,229,288.00,275.00,276.00,49477.00,13822015.00,275.00,1.00 
Shiva Shree Hydropower Ltd,417,132.00,120.00,132.00,769150.00,101525130.00,120.00,12.00 
SHIVAM CEMENTS LTD,198,766.00,741.00,750.00,26199.00,19790648.00,770.00,-20.00 
Shree Investment Finance Co. Ltd.,70,209.00,199.00,199.00,20446.00,4091555.00,206.00,-7.00 
Siddhartha Bank Limited,605,356.00,344.00,347.00,168236.00,58595521.00,346.00,1.00 
Siddhartha Equity Fund,27,9.64,9.41,9.42,73500.00,703272.00,9.60,-0.18 
Siddhartha Insurance Ltd.,37,771.00,760.00,766.00,6598.00,5078357.00,768.00,-2.00 
Sindhu Bikash Bank Ltd,105,170.00,160.00,160.00,32785.00,5314354.00,166.00,-6.00 
Soaltee Hotel Limited,60,190.00,185.00,186.00,14958.00,2784496.00,189.00,-3.00 
Standard Chartered Bank Limited,285,710.00,681.00,683.00,28987.00,19977962.00,689.00,-6.00 
Summit Laghubitta Bittiya Sanstha Limited,65,810.00,780.00,791.00,9257.00,7321744.00,790.00,1.00 
Sunrise Bank Limited,569,278.00,265.00,269.00,174532.00,47234514.00,270.00,-1.00 
Sunrise First Mutual Fund,4,9.30,9.15,9.15,3000.00,27630.00,9.38,-0.23 
Support Microfinance Bittiya Sanstha Ltd.,7,845.00,838.00,838.00,274.00,230638.00,850.00,-12.00 
Surya Life Insurance Company Limited,83,650.00,616.00,618.00,16949.00,10502536.00,620.00,-2.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,24,943.00,921.00,942.00,695.00,652179.00,933.00,9.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,69,1280.00,1250.00,1275.00,4173.00,5308243.00,1260.00,15.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,26,980.00,956.00,979.00,477.00,463078.00,965.00,14.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,52,860.00,852.00,859.00,5810.00,4963293.00,860.00,-1.00 
Synergy Power Development Ltd.,172,232.00,223.00,228.00,32667.00,7463473.00,226.00,2.00 
Taragaon Regency Hotel Limited,37,252.00,247.00,252.00,7362.00,1834042.00,253.00,-1.00 
Unilever Nepal Limited,1,18100.00,18100.00,18100.00,10.00,181000.00,18100.00,0.00 
Union Hydropower Limited,95,123.00,118.00,121.00,12500.00,1502110.00,122.00,-1.00 
United Finance Ltd.,31,245.00,241.00,242.00,6413.00,1557339.00,245.00,-3.00 
United Insurance Co. (Nepal) Ltd.,98,426.00,419.00,420.00,14849.00,6264849.00,419.00,1.00 
United Modi Hydropower Ltd.,125,170.00,163.00,163.00,36048.00,5948375.00,168.00,-5.00 
UNIVERSAL POWER COMPANY LTD,259,142.00,134.00,137.00,51300.00,6999000.00,136.00,1.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,30,1112.00,1096.00,1101.00,1341.00,1483095.00,1096.00,5.00 
Upper Tamakoshi Hydropower Ltd,556,303.00,287.00,295.00,103037.00,30228707.00,289.00,6.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,26,975.00,919.00,924.00,1084.00,1005634.00,929.00,-5.00 
