Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Mero Microfinance Bittiya Sanstha Ltd.,157,649.00,605.00,639.00,18982.00,11899730.00,616.00,23.00 
Miteri Development Bank Limited,15,292.00,280.00,292.00,2960.00,847010.00,280.00,12.00 
Mithila LaghuBitta Bittiya Sanstha Limited,14,642.00,610.00,642.00,1755.00,1096310.00,606.00,36.00 
Mountain Hydro Nepal Limited,16,91.00,88.00,90.00,500.00,44820.00,90.00,0.00 
Muktinath Bikas Bank Ltd.,83,319.00,310.00,317.00,25004.00,7879776.00,308.00,9.00 
Multipurpose Finance Company  Limited,11,150.00,145.00,150.00,1574.00,233586.00,148.00,2.00 
Nabil Bank Limited,119,729.00,706.00,720.00,17628.00,12688880.00,712.00,8.00 
Nabil Equity Fund,14,8.37,8.00,8.37,15326.00,124337.17,8.13,0.24 
Nadep Laghubittiya bittya Sanstha Ltd.,198,656.00,607.00,650.00,20399.00,13050330.00,615.00,35.00 
National Hydro Power Company Limited,14,53.00,51.00,53.00,7820.00,406650.00,50.00,3.00 
National Life Insurance Co. Ltd.,92,632.00,610.00,629.00,25625.00,16017998.00,613.00,16.00 
National Microfinance Bittiya Sanstha Ltd.,33,1656.00,1562.00,1656.00,1831.00,2937675.00,1594.00,62.00 
Neco Insurance Co. Ltd.,124,469.00,441.00,469.00,27513.00,12700947.00,450.00,19.00 
Nepal Bangladesh Bank Limited,69,202.00,195.00,201.00,14465.00,2876717.00,195.00,6.00 
Nepal Bank Limited,179,279.00,272.00,276.00,75600.00,20822854.00,273.00,3.00 
Nepal Credit And Commercial Bank Limited,146,200.00,196.00,200.00,43304.00,8576125.00,198.00,2.00 
Nepal Doorsanchar Comapany Limited,30,629.00,620.00,627.00,4050.00,2523880.00,621.00,6.00 
Nepal Finance Ltd.,2,147.00,145.00,147.00,20.00,2920.00,143.00,4.00 
Nepal Hydro Developers Ltd.,7,130.00,123.00,129.00,70.00,8850.00,125.00,4.00 
Nepal Insurance Co. Ltd.,89,377.00,365.00,377.00,20540.00,7668021.00,368.00,9.00 
Nepal Investment Bank Limited,106,400.00,396.00,397.00,10316.00,4110219.00,397.00,0.00 
Nepal Investment Bank Ltd. Promoter Share,14,373.00,369.00,369.00,6317.00,2345524.00,370.00,-1.00 
Nepal Life Insurance Co. Ltd.,468,1119.00,1080.00,1117.00,73672.00,81428469.00,1093.00,24.00 
Nepal SBI Bank Limited,51,418.00,400.00,416.00,10325.00,4185483.00,401.00,15.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,20,641.00,606.00,635.00,990.00,621820.00,617.00,18.00 
Nerude Laghubita Bikas Bank Limited,209,714.00,651.00,705.00,31385.00,21601737.00,655.00,50.00 
Ngadi Group Power Ltd.,15,116.00,113.00,116.00,888.00,101514.00,114.00,2.00 
NIBL Pragati Fund,9,8.52,8.35,8.35,18467.00,154216.45,8.12,0.23 
NIBL Samriddhi Fund 1,4,10.09,9.63,9.63,10300.00,103457.50,9.76,-0.13 
NIC Asia Bank Ltd.,218,474.00,464.00,471.00,57507.00,27049862.00,467.00,4.00 
NIC Asia Growth Fund,7,9.50,9.30,9.50,6700.00,63386.00,9.26,0.24 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,31,918.00,898.00,915.00,2518.00,2288110.00,886.00,29.00 
NLG Insurance Company Ltd.,34,815.00,764.00,815.00,4486.00,3540238.00,772.00,43.00 
NMB  Microfinance Bittiya Sanstha Ltd.,43,848.00,809.00,846.00,2632.00,2191237.00,819.00,27.00 
NMB Bank Limited,260,360.00,346.00,357.00,55255.00,19514769.00,350.00,7.00 
NMB Hybrid Fund L-1,2,9.60,9.50,9.50,2280.00,21868.00,9.60,-0.10 
Oriental Hotels Limited,17,527.00,510.00,527.00,3707.00,1905128.00,508.00,19.00 
Panchakanya Mai Hydropower Ltd,31,87.00,85.00,87.00,510.00,43730.00,86.00,1.00 
Panchthar Power Compant Limited,38,125.00,119.00,122.00,18295.00,2244365.00,122.00,0.00 
Pokhara Finance Ltd.,31,161.00,152.00,160.00,6541.00,1040024.00,155.00,5.00 
Prabhu  Bank Limited,138,249.00,242.00,248.00,40857.00,10041953.00,243.00,5.00 
Prabhu Insurance Ltd.,66,398.00,380.00,397.00,14294.00,5611100.00,384.00,13.00 
Premier Insurance Co. Ltd.,134,530.00,500.00,515.00,15865.00,8202387.00,505.00,10.00 
Prime Commercial Bank Ltd.,57,270.00,263.00,270.00,9381.00,2507787.00,265.00,5.00 
Prime Commercial Bank Promoter Share,2,173.00,173.00,173.00,150000.00,25950000.00,173.00,0.00 
Prime Life Insurance Company Limited,199,532.00,496.00,526.00,44866.00,23339424.00,503.00,23.00 
ProgressiveFinance Limited,17,111.00,108.00,109.00,4750.00,519210.00,110.00,-1.00 
Prudential Insurance Co. Ltd.,33,646.00,620.00,639.00,4937.00,3131861.00,623.00,16.00 
Radhi Bidyut Company Ltd,16,149.00,144.00,147.00,181.00,26459.00,145.00,2.00 
Rairang Hydropower Development Company Ltd.,23,99.00,98.00,99.00,270.00,26520.00,98.00,1.00 
Rastriya Beema Company Limited,15,9155.00,8800.00,9000.00,281.00,2515460.00,8820.00,180.00 
Rastriya Beema Company Limited Promoter Share,7,8730.00,8550.00,8650.00,160.00,1382740.00,8502.00,148.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,141,174.00,165.00,173.00,15197.00,2579215.00,166.00,7.00 
Reliance Finance Ltd.,4,135.00,132.00,135.00,1392.00,187278.00,133.00,2.00 
Ridi Hydropower Development Company Ltd.,44,81.00,75.00,76.00,9513.00,735398.00,76.00,0.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,42,627.00,610.00,620.00,5970.00,3691251.00,610.00,10.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,100,422.00,398.00,422.00,13499.00,5573406.00,400.00,22.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,51,784.00,742.00,772.00,1690.00,1288770.00,754.00,18.00 
Sagarmatha Insurance Co. Ltd.,22,640.00,630.00,640.00,1556.00,988564.00,625.00,15.00 
Salt Trading Corporation,30,2489.00,2383.00,2489.00,1202.00,2912580.00,2357.00,132.00 
Samata Microfinance Bittiya Sanstha Ltd.,6,744.00,725.00,740.00,1101.00,800735.00,730.00,10.00 
Samriddhi Finance Company Limited,1,103.00,103.00,103.00,493.00,50779.00,105.00,-2.00 
Samudayik Laghubitta Bittiya Sanstha Limited,17,780.00,734.00,765.00,898.00,682448.00,748.00,17.00 
Sana Kisan Bikas Bank Ltd,26,930.00,900.00,919.00,2625.00,2415479.00,900.00,19.00 
Sanima Bank Limited,73,350.00,345.00,350.00,22763.00,7908361.00,347.00,3.00 
Sanima Bank Limited Debenture,1,948.00,948.00,948.00,10.00,9480.00,930.00,18.00 
Sanima Equity Fund,5,9.39,9.27,9.39,6200.00,57733.00,9.29,0.10 
Sanima Mai Hydropower Ltd.,54,200.00,196.00,196.00,18661.00,3703136.00,198.00,-2.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,110,164.00,155.00,164.00,4780.00,765180.00,159.00,5.00 
Saptakoshi Development Bank Ltd,11,139.00,133.00,139.00,758.00,103792.00,135.00,4.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,43,691.00,651.00,691.00,4878.00,3271032.00,654.00,37.00 
Shangrila Development Bank Ltd.,20,156.00,150.00,156.00,5258.00,803819.00,151.00,5.00 
Shikhar Insurance Co. Ltd.,79,1000.00,980.00,1000.00,10319.00,10245269.00,980.00,20.00 
Shine Resunga Development Bank Ltd.,34,259.00,253.00,259.00,9582.00,2453127.00,256.00,3.00 
SHIVAM CEMENTS LTD,168,518.00,505.00,511.00,35813.00,18308050.00,510.00,1.00 
Shree Investment Finance Co. Ltd.,3,154.00,151.00,151.00,956.00,145856.00,151.00,0.00 
Siddhartha Bank Limited,81,313.00,306.00,311.00,20867.00,6452099.00,308.00,3.00 
Siddhartha Equity Fund,5,9.48,9.30,9.48,11310.00,106979.50,9.27,0.21 
Siddhartha Insurance Ltd.,47,522.00,497.00,514.00,8349.00,4245247.00,502.00,12.00 
Sindhu Bikash Bank Ltd,10,132.00,126.00,132.00,1880.00,240870.00,127.00,5.00 
Soaltee Hotel Limited,32,211.00,198.00,207.00,11450.00,2328500.00,197.00,10.00 
Sparsha Laghubitta Bittiya Sanstha Limited,27,808.00,765.00,808.00,1795.00,1428300.00,775.00,33.00 
Standard Chartered Bank Limited,119,604.00,590.00,604.00,15218.00,9131522.00,595.00,9.00 
Summit Laghubitta Bittiya Sanstha Limited,23,706.00,645.00,706.00,3033.00,2069937.00,655.00,51.00 
Sunrise Bank Limited,24,237.00,231.00,236.00,4106.00,962697.00,232.00,4.00 
Support Microfinance Bittiya Sanstha Ltd.,13,690.00,660.00,690.00,350.00,236530.00,669.00,21.00 
Surya Life Insurance Company Limited,294,419.00,394.00,419.00,57403.00,23660021.00,407.00,12.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,48,1050.00,1001.00,1043.00,7685.00,7892425.00,1009.00,34.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,20,975.00,922.00,970.00,1445.00,1366462.00,913.00,57.00 
Swadeshi Laghubitta Bittiya Sanstha Ltd.,57,800.00,763.00,798.00,4098.00,3211888.00,764.00,34.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,56,772.00,740.00,769.00,7796.00,5893566.00,732.00,37.00 
Synergy Power Development Ltd.,37,104.00,98.00,102.00,4346.00,442748.00,100.00,2.00 
Taragaon Regency Hotel Limited,28,312.00,300.00,306.00,6733.00,2043036.00,300.00,6.00 
Tinau Mission Development Bank Limited,16,180.00,168.00,180.00,3818.00,661414.00,174.00,6.00 
Unilever Nepal Limited,1,18914.00,18914.00,18914.00,10.00,189140.00,18914.00,0.00 
Union Hydropower Limited,7,60.00,59.00,59.00,640.00,37860.00,59.00,0.00 
United Finance Ltd.,6,181.00,176.00,176.00,1667.00,297565.00,181.00,-5.00 
United Insurance Co. (Nepal) Ltd.,37,381.00,353.00,369.00,4478.00,1638102.00,360.00,9.00 
United Modi Hydropower Ltd.,17,106.00,104.00,106.00,648.00,68145.00,104.00,2.00 
UNIVERSAL POWER COMPANY LTD,30,75.00,72.00,75.00,5980.00,440510.00,73.00,2.00 
Upper Tamakoshi Hydropower Ltd,137,249.00,240.00,244.00,18145.00,4424207.00,240.00,4.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,17,875.00,852.00,869.00,1180.00,1021277.00,836.00,33.00 
Womi Microfinance Bittiya Sanstha Ltd.,79,963.00,925.00,963.00,7396.00,6987343.00,927.00,36.00 
