Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
11% NIC Asia Debenture 082/83,10,1010.00,1003.00,1005.00,1175.00,1181725.00,1002.00,3.00 
Agriculture Development Bank Limited,100,387.00,368.00,387.00,23768.00,8983346.00,372.00,15.00 
Ankhu Khola Jalvidhyut Company Ltd,27,56.00,55.00,56.00,4540.00,253550.00,56.00,0.00 
Api Power Company Ltd.,84,120.00,115.00,118.00,24932.00,2903915.00,117.00,1.00 
Arun Kabeli Power Ltd.,46,127.00,122.00,125.00,27122.00,3387599.00,125.00,0.00 
Arun Valley Hydropower Development Co. Ltd.,17,96.00,94.00,96.00,4955.00,469020.00,97.00,-1.00 
Asha Laghubitta Bittiya Sanstha Ltd,109,672.00,619.00,672.00,8545.00,5556905.00,628.00,44.00 
Asian Life Insurance Co. Limited,220,522.00,489.00,520.00,40206.00,20643609.00,497.00,23.00 
Bank of Kathmandu Ltd.,63,235.00,226.00,235.00,15809.00,3638270.00,226.00,9.00 
Barun Hydropower Co. Ltd.,7,89.00,87.00,89.00,725.00,64040.00,88.00,1.00 
Best Finance Company Ltd.,16,99.00,93.00,98.00,6226.00,604304.00,97.00,1.00 
Bishal Bazar Company Limited,19,1897.00,1755.00,1787.00,670.00,1199070.00,1790.00,-3.00 
Bottlers Nepal (Terai) Limited,1,6260.00,6260.00,6260.00,10.00,62600.00,6138.00,122.00 
Butwal Power Company Limited,41,323.00,316.00,322.00,5431.00,1734481.00,318.00,4.00 
Central Finance Co. Ltd.,15,141.00,136.00,139.00,6274.00,878087.00,137.00,2.00 
Century Commercial Bank Ltd.,167,183.00,177.00,181.00,41019.00,7413192.00,178.00,3.00 
Chhimek Laghubitta Bikas Bank Limited,39,904.00,881.00,904.00,5200.00,4645696.00,880.00,24.00 
Chhyangdi Hydropower Ltd.,1,91.00,91.00,91.00,34.00,3094.00,90.00,1.00 
Chilime Hydropower Company Limited,51,420.00,404.00,420.00,23707.00,9739927.00,408.00,12.00 
Citizen Bank International Limited,102,197.00,189.00,192.00,18704.00,3597152.00,190.00,2.00 
Citizen Investment Trust,53,2210.00,2168.00,2193.00,3178.00,6960571.00,2189.00,4.00 
Citizens Mutual Fund -1,5,9.74,9.51,9.74,3390.00,32704.50,9.55,0.19 
Civil Bank Ltd,91,147.00,143.00,145.00,40225.00,5818350.00,143.00,2.00 
Civil Laghubitta Bittiya Sanstha Ltd.,12,870.00,854.00,868.00,754.00,645356.00,870.00,-2.00 
Corporate Development Bank Limited,4,128.00,124.00,128.00,260.00,32700.00,126.00,2.00 
Deprosc Laghubitta Bittiya Sanstha Limited,241,819.00,794.00,805.00,23748.00,19143438.00,793.85,11.15 
Dibyashwori Hydropower Ltd.,17,51.00,50.00,50.00,8750.00,442250.00,51.00,-1.00 
Everest Bank Limited,80,610.00,598.00,610.00,14545.00,8793904.00,598.00,12.00 
Everest Insurance Co. Ltd.,162,344.00,322.00,344.00,28218.00,9518384.00,331.00,13.00 
Excel Development Bank Ltd.,2,338.00,336.00,338.00,100.00,33700.00,330.00,8.00 
First Micro Finance Development Bank Ltd.,194,427.00,395.00,427.00,35893.00,14950118.00,399.00,28.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,40,1235.00,1207.00,1230.00,4544.00,5542170.00,1194.00,36.00 
Ganapati Microfinance Bittiya Sanstha Limited,39,784.00,740.00,773.00,1429.00,1083381.00,740.00,33.00 
Garima Bikas Bank Limited,67,235.00,226.00,233.00,23417.00,5379622.00,226.00,7.00 
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,50,892.00,824.00,865.00,1188.00,1021038.00,824.00,41.00 
Global IME Bank Limited,623,297.00,288.00,295.00,180162.00,52657729.00,289.00,6.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,37,1310.00,1263.00,1306.00,3015.00,3911658.00,1288.00,18.00 
Global IME Samunnat Scheme-1,4,8.41,8.25,8.41,15200.00,125920.00,8.17,0.24 
Goodwill Finance Co. Ltd.,12,151.00,143.00,148.00,4043.00,593374.00,145.00,3.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,467,449.00,415.00,445.00,106655.00,46834027.00,417.00,28.00 
Green Development Bank Ltd.,19,114.00,110.00,114.00,3337.00,373547.00,111.00,3.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,4,141.00,137.00,138.00,1380.00,189480.00,139.00,-1.00 
Gurans Laghubitta Bittiya Sanstha Limited,25,643.00,601.00,643.00,990.00,620510.00,601.00,42.00 
Gurans Life Insurance Company Ltd.,212,686.00,639.00,683.00,38032.00,25170748.00,644.00,39.00 
Gurkhas Finance Ltd.,9,135.00,130.00,130.00,2884.00,379886.00,131.00,-1.00 
Himalaya Urja Bikas Company Limited,22,111.00,105.00,108.00,891.00,96365.00,109.00,-1.00 
Himalayan Bank Limited,31,521.00,510.00,514.00,1954.00,1004704.00,513.64,0.36 
Himalayan Distillery Limited,145,1245.00,1216.00,1239.00,11987.00,14711451.00,1231.00,8.00 
Himalayan General Insurance Co. Ltd,53,362.00,345.00,362.00,8482.00,3026291.00,350.00,12.00 
Himalayan Power Partner Ltd.,21,147.00,142.00,143.00,375.00,54160.00,143.00,0.00 
Hydorelectricity Investment and Development Company Ltd,52,139.00,134.00,136.00,14862.00,2018581.00,135.00,1.00 
ICFC Finance Limited,2,173.00,172.00,172.00,1911.00,328774.00,172.00,0.00 
IME General Insurance Ltd.,29,394.00,375.00,389.00,3821.00,1471804.00,374.00,15.00 
Infinity Laghubitta Bittiya Sanstha Limited,111,829.00,765.00,820.00,5095.00,4114870.00,775.00,45.00 
Janaki Finance Ltd.,8,180.00,174.00,180.00,2262.00,406510.00,171.00,9.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,49,1450.00,1380.00,1440.00,4610.00,6501775.00,1397.00,43.00 
Joshi Hydropower Development Company Ltd,23,65.00,62.00,63.00,810.00,51130.00,65.00,-2.00 
Jyoti Bikas Bank Limited,90,180.00,168.00,180.00,29967.00,5204555.00,169.00,11.00 
Kalika power Company Ltd,34,92.00,88.00,89.00,340.00,30340.00,89.00,0.00 
Kamana Sewa Bikas Bank Limited,67,157.00,149.00,157.00,18583.00,2833963.00,151.00,6.00 
Kanchan Development Bank Limited,15,258.00,244.00,258.00,5700.00,1424770.00,248.00,10.00 
Karnali Development Bank Limited,7,113.00,107.00,113.00,245.00,26701.00,109.00,4.00 
Khanikhola Hydropower Co. Ltd.,17,54.00,52.00,54.00,203.00,10792.00,52.00,2.00 
Kumari Bank Limited,111,195.00,189.00,194.00,34708.00,6656715.00,189.00,5.00 
Kumari Bank Limited Promotor Share,1,114.00,114.00,114.00,755.00,86070.00,114.00,0.00 
Laxmi Bank Limited,31,211.00,205.00,208.00,6978.00,1451139.00,207.00,1.00 
Laxmi Equity Fund,1,7.66,7.66,7.66,2500.00,19150.00,7.51,0.15 
Laxmi Laghubitta Bittiya Sanstha Ltd.,39,998.00,952.00,996.00,3132.00,3072895.00,970.00,26.00 
Laxmi Value Fund-1,2,9.60,9.60,9.60,1000.00,9600.00,9.45,0.15 
Life Insurance Co. Nepal,77,1245.00,1203.00,1230.00,9115.00,11136437.00,1228.00,2.00 
Lumbini Bikas Bank Ltd.,73,193.00,185.00,192.00,21382.00,4059421.00,185.00,7.00 
Lumbini General Insurance Co. Ltd.,107,434.00,419.00,433.00,14470.00,6206739.00,416.00,17.00 
Machhapuchhre Bank Limited,59,234.00,230.00,234.00,15617.00,3626708.00,229.00,5.00 
Mahalaxmi Bikas Bank Ltd.,46,206.00,197.00,206.00,14683.00,2978546.00,200.00,6.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,34,754.00,700.00,750.00,1419.00,1025709.00,710.00,40.00 
Manjushree Finance Ltd.,52,204.00,196.00,196.00,13030.00,2595111.00,198.00,-2.00 
Mega  Bank Nepal Ltd.,116,199.00,194.00,198.00,33147.00,6527339.00,196.00,2.00 
