Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Chhimek Laghubitta Bikas Bank Limited,286,1400.00,1360.00,1387.00,29184.00,40472481.00,1350.00,37.00 
Chhyangdi Hydropower Ltd.,114,181.00,163.00,180.00,17076.00,2893256.00,165.00,15.00 
Chilime Hydropower Company Limited,188,590.00,580.00,581.00,29496.00,17222596.00,589.00,-8.00 
Citizen Bank International Limited,425,300.00,295.00,298.00,190433.00,56758118.00,296.00,2.00 
Citizen Investment Trust,310,3490.00,3456.00,3483.00,12601.00,43783624.00,3455.00,28.00 
Citizens Mutual Fund -1,25,10.20,10.00,10.08,78580.00,793221.20,10.18,-0.10 
CITIZENS MUTUAL FUND 2,24,10.30,10.13,10.20,13700.00,139301.50,10.10,0.10 
Civil Bank Ltd,560,218.00,214.00,214.00,212653.00,45830403.00,217.00,-3.00 
Civil Laghubitta Bittiya Sanstha Ltd.,117,968.00,863.00,968.00,11699.00,11190754.00,880.00,88.00 
Corporate Development Bank Limited,24,412.00,393.00,412.00,3080.00,1248520.00,375.00,37.00 
Deprosc Laghubitta Bittiya Sanstha Limited,613,1680.00,1591.00,1680.00,50622.00,83258342.00,1565.00,115.00 
Dibyashwori Hydropower Ltd.,68,112.00,107.00,111.00,12793.00,1406893.00,110.00,1.00 
Everest Bank Limited,532,852.00,833.00,835.00,129661.00,109208610.00,836.00,-1.00 
Everest Bank Limited Con. Pref.,3,695.00,678.00,678.00,266.00,184398.00,705.00,-27.00 
Everest Insurance Co. Ltd.,211,662.00,642.00,650.00,45295.00,29352788.00,650.00,0.00 
Everest Insurance Co. Ltd. Promoter Share,18,295.00,286.00,286.00,6238.00,1810164.00,293.00,-7.00 
Excel Development Bank Ltd.,137,403.00,390.00,397.00,34979.00,13881598.00,382.00,15.00 
First Micro Finance Development Bank Ltd.,793,706.00,666.00,701.00,151087.00,103816339.00,692.00,9.00 
Forward Community Microfinance Bittiya Sanstha Ltd.,128,2423.00,2383.00,2399.00,6649.00,15925516.00,2385.00,14.00 
Ganapati Microfinance Bittiya Sanstha Limited,113,1419.00,1271.00,1391.00,6081.00,8154391.00,1290.00,101.00 
Garima Bikas Bank Limited,817,377.00,360.00,363.00,201996.00,74529987.00,357.00,6.00 
General Insurance Company Nepal Ltd,899,630.00,585.00,623.00,61336.00,37863494.00,590.00,33.00 
Ghalemdi Hydro Limited,79,121.00,116.00,117.00,5076.00,603911.00,118.00,-1.00 
Global IME Bank Limited,848,339.00,335.00,336.00,220997.00,74346847.00,336.00,0.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,88,1575.00,1545.00,1570.00,10051.00,15651598.00,1539.00,31.00 
Global IME Samunnat Scheme-1,26,13.18,12.75,13.10,488196.00,6415561.89,12.50,0.60 
Goodwill Finance Co. Ltd.,76,233.00,221.00,221.00,25407.00,5697487.00,228.00,-7.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,541,709.00,660.00,693.00,82763.00,56186193.00,676.00,17.00 
Green Development Bank Ltd.,109,183.00,170.00,172.00,23441.00,4062021.00,175.00,-3.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,71,218.00,207.00,214.00,18626.00,3953532.00,203.00,11.00 
Gurans Laghubitta Bittiya Sanstha Limited,78,1127.00,1076.00,1127.00,4463.00,5025417.00,1025.00,102.00 
Gurans Life Insurance Company Ltd.,625,700.00,660.00,685.00,136673.00,93190580.00,667.00,18.00 
Gurkhas Finance Ltd.,248,320.00,294.00,320.00,95713.00,30080809.00,291.00,29.00 
Himal Dolakha Hydropower Company Limited,161,133.00,129.00,131.00,50500.00,6593370.00,133.00,-2.00 
Himalaya Urja Bikas Company Limited,65,198.00,194.00,196.00,3140.00,616980.00,197.00,-1.00 
Himalayan Bank Limited,169,579.00,572.00,574.00,32934.00,18935743.00,574.00,0.00 
Himalayan Distillery Limited,378,4590.00,4360.00,4394.00,21971.00,97434892.00,4465.00,-71.00 
Himalayan General Insurance Co. Ltd,218,740.00,698.00,705.00,59002.00,41789527.00,705.00,0.00 
Himalayan Power Partner Ltd.,122,235.00,225.00,230.00,7747.00,1770250.00,231.00,-1.00 
Hydorelectricity Investment and Development Company Ltd,312,334.00,319.00,334.00,112843.00,37648867.00,304.00,30.00 
ICFC Finance Limited,339,310.00,294.00,300.00,105896.00,31887438.00,289.00,11.00 
IME General Insurance Ltd.,216,907.00,858.00,885.00,56311.00,50178555.00,907.00,-22.00 
Infinity Laghubitta Bittiya Sanstha Limited,168,1415.00,1382.00,1400.00,18063.00,25249610.00,1375.00,25.00 
Janaki Finance Ltd.,192,283.00,264.00,274.00,46278.00,12586759.00,260.00,14.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,53,2370.00,2300.00,2305.00,2453.00,5689523.00,2327.00,-22.00 
Joshi Hydropower Development Company Ltd,95,115.00,112.00,113.00,3538.00,402072.00,114.00,-1.00 
Jyoti Bikas Bank Limited,334,232.00,227.00,229.00,125377.00,28708112.00,228.00,1.00 
Kalika Microcredit Development Bank Ltd.,287,1190.00,1100.00,1186.00,26651.00,30101953.00,1095.00,91.00 
Kalika power Company Ltd,187,219.00,202.00,214.00,17908.00,3785641.00,201.00,13.00 
Kamana Sewa Bikas Bank Limited,379,295.00,282.00,295.00,142124.00,41843626.00,269.00,26.00 
Karnali Development Bank Limited,154,161.00,153.00,157.00,37064.00,5795039.00,158.00,-1.00 
Khanikhola Hydropower Co. Ltd.,36,110.00,106.00,110.00,1088.00,118254.00,108.00,2.00 
Kisan Lagubitta Bittiya Sanstha Limited,77,1410.00,1310.00,1390.00,5272.00,7112977.00,1304.00,86.00 
Kumari Bank Limited,901,298.00,282.00,287.00,296428.00,84612424.00,284.00,3.00 
Laxmi Bank Limited,195,285.00,279.00,281.00,72818.00,20451643.00,279.00,2.00 
Laxmi Equity Fund,27,10.26,10.12,10.20,67648.00,688794.16,10.07,0.13 
Laxmi Laghubitta Bittiya Sanstha Ltd.,27,1618.00,1586.00,1600.00,1522.00,2436934.00,1587.00,13.00 
Laxmi Unnati Kosh,50,9.95,9.80,9.95,42410.00,418024.40,9.64,0.31 
Liberty Energy Company Limited,350,227.00,219.00,224.00,36311.00,8060832.00,219.00,5.00 
Life Insurance Co. Nepal,151,2279.00,2205.00,2275.00,50108.00,111611453.00,2235.00,40.00 
Lumbini Bikas Bank Ltd.,286,250.00,242.00,245.00,103280.00,25427536.00,244.00,1.00 
Lumbini General Insurance Co. Ltd.,428,683.00,662.00,680.00,109352.00,73953391.00,664.00,16.00 
Machhapuchhre Bank Limited,279,285.00,280.00,283.00,126352.00,35743346.00,282.00,1.00 
Mahalaxmi Bikas Bank Ltd.,376,291.00,278.00,283.00,206096.00,58355918.00,278.00,5.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,96,1137.00,1069.00,1069.00,8318.00,9153344.00,1052.00,17.00 
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,69,1841.00,1740.00,1819.00,3919.00,7015129.00,1728.00,91.00 
Manjushree Finance Ltd.,251,412.00,390.00,409.00,68535.00,27690941.00,388.00,21.00 
Mega  Bank Nepal Ltd.,493,286.00,281.00,283.00,146651.00,41531754.00,283.00,0.00 
Mero Microfinance Bittiya Sanstha Ltd.,153,1099.00,1055.00,1059.00,17829.00,19146023.00,1060.00,-1.00 
Mirmire Microfinance Development Bank Ltd.,182,1390.00,1356.00,1359.00,15474.00,21171051.00,1400.00,-41.00 
Miteri Development Bank Limited,57,367.00,363.00,365.00,10056.00,3661026.00,360.00,5.00 
Mithila LaghuBitta Bittiya Sanstha Limited,61,1504.00,1471.00,1502.00,7024.00,10491479.00,1471.00,31.00 
Mountain Energy Nepal Limited,554,415.00,395.00,401.00,18495.00,7420820.00,396.00,5.00 
Mountain Hydro Nepal Limited,61,192.00,188.00,188.00,6200.00,1175135.00,192.00,-4.00 
Muktinath Bikas Bank Ltd.,546,406.00,383.00,398.00,108718.00,42627016.00,382.00,16.00 
Multipurpose Finance Company  Limited,55,174.00,168.00,168.00,10556.00,1802710.00,171.00,-3.00 
NABIL BALANCED FUND-2,68,10.45,10.20,10.27,244700.00,2527115.00,10.09,0.18 
Nabil Bank Limited,607,1180.00,1115.00,1128.00,79293.00,89260230.00,1128.00,0.00 
Nabil Equity Fund,86,11.07,10.57,10.77,221433.00,2378859.71,10.55,0.22 
Narayani Development Bank Limited,43,618.00,573.00,618.00,5430.00,3342600.00,562.00,56.00 
National Hydro Power Company Limited,134,120.00,113.00,118.00,57183.00,6751585.00,118.00,0.00 
National Life Insurance Co. Ltd.,422,1096.00,1071.00,1071.00,67009.00,72525847.00,1075.00,-4.00 
National Microfinance Bittiya Sanstha Ltd.,37,2485.00,2420.00,2468.00,1857.00,4562027.00,2460.00,8.00 
Neco Insurance Co. Ltd.,440,1366.00,1316.00,1323.00,51140.00,68274629.00,1320.00,3.00 
Nepal Bangladesh Bank Limited,636,310.00,298.00,299.00,192749.00,58052613.00,303.00,-4.00 
Nepal Bank Limited,374,372.00,362.00,364.00,161525.00,58962436.00,368.00,-4.00 
Nepal Credit And Commercial Bank Limited,334,342.00,333.00,335.00,132553.00,44512858.00,335.00,0.00 
Nepal Doorsanchar Comapany Limited,1210,1387.00,1333.00,1354.00,198199.00,268524359.00,1359.00,-5.00 
Nepal Finance Ltd.,57,270.00,245.00,270.00,8001.00,2030500.00,246.00,24.00 
Nepal Hydro Developers Ltd.,45,231.00,225.00,228.00,2330.00,528450.00,227.00,1.00 
Nepal Insurance Co. Ltd.,471,710.00,668.00,710.00,123044.00,85384120.00,677.00,33.00 
Nepal Investment Bank Limited,426,490.00,468.00,480.00,82165.00,39567438.00,482.00,-2.00 
Nepal Investment Bank Ltd. Promoter Share,40,446.00,425.00,432.00,26337.00,11281701.00,425.00,7.00 
Nepal Life Insurance Co. Ltd.,791,2500.00,2465.00,2465.00,65563.00,162232347.00,2463.00,2.00 
Nepal Life Insurance Co. Ltd. Promoter,1,850.00,850.00,850.00,1000.00,850000.00,850.00,0.00 
Nepal Reinsurance Company Limited,1148,1566.00,1529.00,1533.00,110955.00,170862604.00,1536.00,-3.00 
Nepal SBI Bank Limited,197,462.00,449.00,449.00,43175.00,19588014.00,453.00,-4.00 
Nerude Laghubita Bikas Bank Limited,238,1333.00,1264.00,1320.00,69907.00,91464107.00,1264.00,56.00 
Ngadi Group Power Ltd.,75,232.00,220.00,223.00,14477.00,3242310.00,221.00,2.00 
NIBL Pragati Fund,39,11.83,11.44,11.65,90696.00,1053847.73,11.38,0.27 
NIBL Samriddhi Fund 1,9,12.17,11.88,12.15,18056.00,218045.40,11.94,0.21 
NIC Asia Balanced Fund,19,10.55,10.30,10.44,11400.00,119390.00,10.50,-0.06 
NIC Asia Bank Ltd.,1139,935.00,896.00,906.00,223189.00,202442747.00,901.00,5.00 
NIC Asia Growth Fund,34,11.46,10.91,11.24,215050.00,2441343.00,11.02,0.22 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,309,1513.00,1402.00,1500.00,42368.00,61856428.00,1401.00,99.00 
NLG Insurance Company Ltd.,245,915.00,851.00,914.00,34840.00,31089349.00,860.00,54.00 
NMB  Microfinance Bittiya Sanstha Ltd.,144,1200.00,1180.00,1193.00,11453.00,13646458.00,1179.00,14.00 
NMB 50,44,11.20,10.95,11.17,164000.00,1812355.00,10.90,0.27 
NMB Bank Limited,592,449.00,438.00,439.00,197747.00,87147625.00,446.00,-7.00 
NMB Hybrid Fund L-1,40,10.69,10.31,10.69,206203.00,2163378.16,10.40,0.29 
NRN Infrastructure and Development Limited,329,374.00,366.00,367.00,15699.00,5806328.00,368.00,-1.00 
Oriental Hotels Limited,203,513.00,476.00,502.00,35925.00,18102702.00,479.00,23.00 
Panchakanya Mai Hydropower Ltd,102,136.00,130.00,136.00,7479.00,999548.00,134.00,2.00 
Panchthar Power Compant Limited,98,217.00,200.00,208.00,5700.00,1195120.00,209.00,-1.00 
Pokhara Finance Ltd.,194,228.00,209.00,218.00,47344.00,10264753.00,217.00,1.00 
Prabhu  Bank Limited,2167,448.00,418.00,446.00,768755.00,334694798.00,414.00,32.00 
Prabhu Insurance Ltd.,549,800.00,722.00,783.00,129121.00,98022524.00,729.00,54.00 
Prabhu Life Insurance Limited,18,327.00,286.00,327.00,180.00,57560.00,298.00,29.00 
Premier Insurance Co. Ltd.,405,1090.00,1050.00,1079.00,77362.00,82716953.00,1056.00,23.00 
Prime Commercial Bank Ltd.,569,446.00,439.00,443.00,168424.00,74439346.00,441.00,2.00 
Prime Life Insurance Company Limited,306,849.00,810.00,830.00,49268.00,40705359.00,809.00,21.00 
ProgressiveFinance Limited,259,150.00,139.00,150.00,117929.00,17413359.00,137.00,13.00 
Prudential Insurance Co. Ltd.,265,667.00,634.00,655.00,62173.00,40833647.00,648.00,7.00 
Radhi Bidyut Company Ltd,221,287.00,280.00,280.00,49350.00,13993519.00,286.00,-6.00 
Rairang Hydropower Development Company Ltd.,70,259.00,245.00,249.00,5743.00,1441931.00,247.00,2.00 
Rastriya Beema Company Limited,35,16320.00,15770.00,15890.00,963.00,15342965.00,16000.00,-110.00 
Rastriya Beema Company Limited Promoter Share,4,14993.00,14800.00,14800.00,74.00,1098010.00,15298.00,-498.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,329,307.00,298.00,304.00,45405.00,13799531.00,302.00,2.00 
Reliance Finance Ltd.,109,205.00,192.00,196.00,39732.00,7739646.00,196.00,0.00 
Reliance Life Insurance Limited,691,644.00,632.00,634.00,31038.00,19703449.00,632.00,2.00 
Ridi Hydropower Development Company Ltd.,123,164.00,158.00,160.00,36303.00,5837789.00,159.00,1.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,206,1220.00,1170.00,1205.00,29088.00,34814515.00,1165.00,40.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,238,710.00,693.00,702.00,32420.00,22698419.00,710.00,-8.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,142,1260.00,1190.00,1250.00,12437.00,15174246.00,1170.00,80.00 
Sadhana Laghubitta Bittiya Sanstha Limited,99,1233.00,1210.00,1220.00,3428.00,4188328.00,1233.00,-13.00 
Sagarmatha Insurance Co. Ltd.,147,1143.00,1121.00,1135.00,23420.00,26577758.00,1121.00,14.00 
Salt Trading Corporation,132,8385.00,7775.00,8100.00,2903.00,23690900.00,7623.00,477.00 
Samriddhi Finance Company Limited,247,177.00,160.00,162.00,47887.00,7877558.00,169.00,-7.00 
Samudayik Laghubitta Bittiya Sanstha Limited,80,1249.00,1158.00,1249.00,3752.00,4653983.00,1136.00,113.00 
Sana Kisan Bikas Bank Ltd,127,1663.00,1600.00,1620.00,12347.00,19925628.00,1603.00,17.00 
Sanima Bank Limited,406,370.00,348.00,363.00,159741.00,58126493.00,363.00,0.00 
Sanima Bank Limited Debenture,3,1076.00,1076.00,1076.00,700.00,753200.00,1097.00,-21.00 
Sanima Equity Fund,49,12.90,12.47,12.80,265940.00,3400038.00,12.25,0.55 
Sanima General Insurance Limited,575,619.00,601.00,616.00,23665.00,14529966.00,606.00,10.00 
Sanima Mai Hydropower Ltd.,168,340.00,329.00,330.00,40169.00,13335464.00,334.00,-4.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,265,286.00,281.00,281.00,25288.00,7167451.00,285.00,-4.00 
Saptakoshi Development Bank Ltd,178,177.00,165.00,165.00,58122.00,9862722.00,169.00,-4.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,120,1218.00,1190.00,1203.00,11285.00,13552881.00,1195.00,8.00 
Shangrila Development Bank Ltd.,243,228.00,210.00,212.00,78509.00,16818722.00,220.00,-8.00 
Shikhar Insurance Co. Ltd.,281,1920.00,1870.00,1874.00,31367.00,58834211.00,1866.00,8.00 
Shine Resunga Development Bank Ltd.,314,286.00,272.00,273.00,102345.00,28529777.00,275.00,-2.00 
Shiva Shree Hydropower Ltd,73,150.00,147.00,147.00,18435.00,2725590.00,147.00,0.00 
SHIVAM CEMENTS LTD,424,1720.00,1645.00,1670.00,51596.00,86110281.00,1655.00,15.00 
Shree Investment Finance Co. Ltd.,65,211.00,202.00,204.00,18306.00,3783762.00,204.00,0.00 
Siddhartha Bank Limited,554,418.00,404.00,406.00,166670.00,68086171.00,413.00,-7.00 
Siddhartha Equity Fund,53,11.16,10.75,10.95,501100.00,5559140.40,10.95,0.00 
Siddhartha Insurance Ltd.,146,1001.00,961.00,985.00,62073.00,61153362.00,984.00,1.00 
Siddhartha Investment Growth Scheme - 2,23,11.14,11.03,11.11,1008900.00,11208709.00,11.22,-0.11 
Sindhu Bikash Bank Ltd,118,172.00,166.00,170.00,39054.00,6600533.00,169.00,1.00 
Soaltee Hotel Limited,314,217.00,195.00,210.00,125467.00,26229644.00,198.00,12.00 
Standard Chartered Bank Limited,326,690.00,671.00,676.00,58492.00,39613612.00,678.00,-2.00 
Summit Laghubitta Bittiya Sanstha Limited,190,1160.00,1075.00,1160.00,17869.00,20245221.00,1055.00,105.00 
Sunrise Bank Limited,300,280.00,274.00,276.00,111892.00,30811956.00,270.00,6.00 
Sunrise First Mutual Fund,18,11.19,10.95,10.95,267750.00,2938662.00,10.99,-0.04 
Support Microfinance Bittiya Sanstha Ltd.,64,1428.00,1300.00,1409.00,3637.00,4976052.00,1299.00,110.00 
Surya Life Insurance Co. Ltd. Promoter Share,3,278.00,278.00,278.00,456500.00,126907000.00,278.00,0.00 
Surya Life Insurance Company Limited,702,834.00,781.00,824.00,157505.00,128080039.00,770.00,54.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,54,1498.00,1430.00,1440.00,3005.00,4366827.00,1414.00,26.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,180,1882.00,1780.00,1825.00,17843.00,32683815.00,1810.00,15.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,160,1766.00,1686.00,1766.00,7623.00,13389382.00,1606.00,160.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,235,1301.00,1276.00,1301.00,34129.00,44104955.00,1274.00,27.00 
Synergy Power Development Ltd.,90,229.00,225.00,227.00,16967.00,3827572.00,228.00,-1.00 
Taragaon Regency Hotel Limited,297,334.00,304.00,334.00,105955.00,34138154.00,304.00,30.00 
Unilever Nepal Limited,9,20502.00,20050.00,20489.00,90.00,1826430.00,19802.00,687.00 
Union Hydropower Limited,64,115.00,112.00,112.00,15015.00,1695075.00,113.00,-1.00 
United Finance Ltd.,64,330.00,320.00,324.00,17698.00,5729187.00,330.00,-6.00 
United IDI Mardi RB Hydropower Limited.,123,224.00,220.00,221.00,1390.00,308400.00,222.00,-1.00 
United Insurance Co. (Nepal) Ltd.,459,540.00,515.00,533.00,141143.00,74945772.00,524.00,9.00 
United Modi Hydropower Ltd.,122,164.00,159.00,164.00,34160.00,5561701.00,161.00,3.00 
UNIVERSAL POWER COMPANY LTD,159,135.00,132.00,133.00,43600.00,5792940.00,133.00,0.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,59,1569.00,1490.00,1569.00,3204.00,4921760.00,1488.00,81.00 
Upper Tamakoshi Hydropower Ltd,891,494.00,480.00,486.00,125594.00,61211342.00,493.00,-7.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,67,1272.00,1227.00,1240.00,4423.00,5483612.00,1225.00,15.00 
