Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Nepal SBI Bank Debenture 2086,1,1045.00,1045.00,1045.00,25.00,26125.00,1050.00,-5.00 
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1051.00,1051.00,1051.00,25.00,26275.00,1050.00,1.00 
10.25% Sunrise Bank Debenture 2083,4,1051.00,1051.00,1051.00,637.00,669487.00,1055.00,-4.00 
10.5 % NEPAL INVESTMENT DEBENTURE 2082,2,1081.00,1081.00,1081.00,37.00,39997.00,1103.00,-22.00 
10.50% SBL Debenture 2082,1,1062.00,1062.00,1062.00,75.00,79650.00,1061.00,1.00 
11% NIC Asia Debenture 082/83,2,1147.00,1140.00,1140.00,3304.00,3788988.00,1155.00,-15.00 
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,972,1304.00,1245.00,1304.00,50962.00,65637582.00,1186.00,118.00 
Agriculture Development Bank Limited,291,456.00,448.00,448.00,61879.00,27938993.00,453.00,-5.00 
Ajod Insurance Limited,371,691.00,682.00,690.00,25324.00,17412967.00,682.00,8.00 
Ankhu Khola Jalvidhyut Company Ltd,142,134.00,127.00,133.00,11540.00,1515471.00,127.00,6.00 
Api Power Company Ltd.,236,277.00,259.00,260.00,80909.00,21122894.00,264.00,-4.00 
Arun Kabeli Power Ltd.,254,279.00,270.00,272.00,132709.00,36287019.00,276.00,-4.00 
Arun Valley Hydropower Development Co. Ltd.,276,237.00,227.00,231.00,100417.00,23224659.00,235.00,-4.00 
Asha Laghubitta Bittiya Sanstha Ltd,97,1360.00,1282.00,1305.00,6222.00,8164042.00,1330.00,-25.00 
Asian Life Insurance Co. Limited,384,1129.00,1077.00,1115.00,84070.00,93202916.00,1083.00,32.00 
Asian Life Insurance Co. Ltd Promoter Share,1,380.00,380.00,380.00,2285.00,868300.00,380.00,0.00 
Bank of Kathmandu Ltd.,461,317.00,300.00,307.00,171423.00,52189905.00,302.00,5.00 
Barun Hydropower Co. Ltd.,350,238.00,227.00,238.00,90259.00,21451029.00,217.00,21.00 
Best Finance Company Ltd.,157,158.00,152.00,155.00,41798.00,6449938.00,152.00,3.00 
Bishal Bazar Company Limited,119,3085.00,2775.00,3085.00,3829.00,11405945.00,2805.00,280.00 
Bottlers Nepal (Terai) Limited,13,9030.00,8860.00,8900.00,185.00,1647540.00,9030.00,-130.00 
Butwal Power Company Limited,249,408.00,402.00,403.00,40180.00,16241100.00,405.00,-2.00 
Central Finance Co. Ltd.,119,208.00,198.00,202.00,46217.00,9374656.00,206.00,-4.00 
Century Commercial Bank Ltd.,560,222.00,217.00,219.00,244340.00,53628554.00,217.00,2.00 
