Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Forward Community Microfinance Bittiya Sanstha Ltd.,222,1976.00,1811.00,1974.00,12785.00,24481120.00,1880.00,94.00 
Ganapati Microfinance Bittiya Sanstha Limited,69,903.00,843.00,903.00,2855.00,2458920.00,856.00,47.00 
Garima Bikas Bank Limited,251,274.00,259.00,271.00,63908.00,16933487.00,265.00,6.00 
General Insurance Company Nepal Ltd,708,601.00,568.00,588.00,25850.00,15080477.00,580.00,8.00 
Ghalemdi Hydro Limited,88,130.00,122.00,125.00,5670.00,700225.00,124.00,1.00 
Global IME Bank Limited,1415,345.00,322.00,339.00,311868.00,104262436.00,329.00,10.00 
Global IME Laghubitta Bittiya Sanstha Ltd.,81,1515.00,1372.00,1514.00,4367.00,6223997.00,1378.00,136.00 
Global IME Samunnat Scheme-1,8,11.25,10.95,11.16,31947.00,355440.40,11.12,0.04 
Goodwill Finance Co. Ltd.,23,210.00,202.00,210.00,4771.00,990517.00,203.00,7.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,283,627.00,585.00,624.00,31031.00,18910186.00,600.00,24.00 
Green Development Bank Ltd.,57,160.00,151.00,160.00,7663.00,1181498.00,153.00,7.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,29,196.00,193.00,193.00,8177.00,1587691.00,195.00,-2.00 
Gurans Laghubitta Bittiya Sanstha Limited,60,832.00,750.00,819.00,2382.00,1832906.00,766.00,53.00 
Gurans Life Insurance Company Ltd.,407,630.00,591.00,625.00,70669.00,43529548.00,600.00,25.00 
Gurkhas Finance Ltd.,78,197.00,185.00,197.00,19799.00,3778416.00,189.00,8.00 
Himal Dolakha Hydropower Company Limited,299,144.00,134.00,139.00,119280.00,16504593.00,137.00,2.00 
Himalaya Urja Bikas Company Limited,137,212.00,198.00,212.00,11982.00,2422152.00,202.00,10.00 
Himalayan Bank Limited,263,675.00,646.00,664.00,36036.00,23860545.00,659.00,5.00 
Himalayan Distillery Limited,603,3849.00,3500.00,3820.00,36812.00,136411779.00,3602.00,218.00 
Himalayan General Insurance Co. Ltd,264,622.00,577.00,622.00,47815.00,28820313.00,582.00,40.00 
Himalayan Power Partner Ltd.,196,246.00,229.00,245.00,13487.00,3192964.00,233.00,12.00 
Hydorelectricity Investment and Development Company Ltd,605,291.00,262.00,289.00,161554.00,44515659.00,267.00,22.00 
ICFC Finance Limited,198,300.00,287.00,295.00,42863.00,12616373.00,284.00,11.00 
IME General Insurance Ltd.,133,601.00,568.00,595.00,146784.00,83963888.00,575.00,20.00 
Infinity Laghubitta Bittiya Sanstha Limited,189,1001.00,930.00,1000.00,5849.00,5754661.00,931.00,69.00 
Janaki Finance Ltd.,40,243.00,233.00,241.00,7042.00,1680649.00,235.00,6.00 
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,49,1601.00,1501.00,1595.00,2358.00,3672813.00,1568.00,27.00 
Joshi Hydropower Development Company Ltd,211,124.00,115.00,120.00,9309.00,1119731.00,119.00,1.00 
Jyoti Bikas Bank Limited,568,238.00,220.00,238.00,201102.00,46004869.00,227.00,11.00 
Kalika Microcredit Development Bank Ltd.,115,800.00,760.00,790.00,6169.00,4823793.00,775.00,15.00 
Kalika power Company Ltd,253,220.00,204.00,220.00,12631.00,2693261.00,207.00,13.00 
Kamana Sewa Bikas Bank Limited,212,231.00,222.00,231.00,84931.00,19334252.00,222.00,9.00 
Karnali Development Bank Limited,46,143.00,139.00,143.00,10383.00,1464488.00,139.00,4.00 
Khanikhola Hydropower Co. Ltd.,88,117.00,113.00,117.00,4529.00,526341.00,115.00,2.00 
Kisan Lagubitta Bittiya Sanstha Limited,39,1128.00,1065.00,1124.00,1992.00,2195863.00,1086.00,38.00 
Kumari Bank Limited,637,246.00,231.00,241.00,209663.00,49542089.00,236.00,5.00 
Laxmi Bank Limited,197,290.00,271.00,281.00,48354.00,13495452.00,277.00,4.00 
Laxmi Equity Fund,3,9.60,9.40,9.60,14199.00,135776.42,9.53,0.07 
Laxmi Laghubitta Bittiya Sanstha Ltd.,64,1412.00,1320.00,1412.00,6975.00,9452549.00,1339.00,73.00 
Laxmi Unnati Kosh,8,9.50,9.22,9.50,1900.00,17876.00,9.37,0.13 
Liberty Energy Company Limited,368,223.00,208.00,217.00,15265.00,3282485.00,210.00,7.00 
Life Insurance Co. Nepal,220,1977.00,1804.00,1977.00,31866.00,59567120.00,1855.00,122.00 
Lumbini Bikas Bank Ltd.,267,240.00,226.00,234.00,83528.00,19329345.00,229.00,5.00 
Lumbini General Insurance Co. Ltd.,258,624.00,588.00,624.00,54352.00,32867929.00,590.00,34.00 
Machhapuchhre Bank Limited,228,253.00,236.00,243.00,63831.00,15362142.00,241.00,2.00 
Mahalaxmi Bikas Bank Ltd.,126,250.00,231.00,248.00,19192.00,4606921.00,239.00,9.00 
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,39,858.00,790.00,858.00,3361.00,2779274.00,795.00,63.00 
Manjushree Finance Ltd.,671,435.00,401.00,409.00,152994.00,63508624.00,407.00,2.00 
Mega  Bank Nepal Ltd.,697,267.00,250.00,267.00,214456.00,55817905.00,259.00,8.00 
Mero Microfinance Bittiya Sanstha Ltd.,279,890.00,810.00,879.00,33796.00,28722661.00,821.00,58.00 
Mirmire Microfinance Development Bank Ltd.,69,950.00,913.00,938.00,5535.00,5158480.00,912.00,26.00 
Miteri Development Bank Limited,94,418.00,399.00,407.00,15048.00,6115791.00,402.00,5.00 
Mithila LaghuBitta Bittiya Sanstha Limited,60,1150.00,1039.00,1135.00,3930.00,4355587.00,1095.00,40.00 
Mountain Hydro Nepal Limited,104,206.00,196.00,205.00,4285.00,863000.00,202.00,3.00 
Muktinath Bikas Bank Ltd.,794,416.00,384.00,397.00,141839.00,55873536.00,397.00,0.00 
Muktinath Bikas Bank Ltd. Promoter Share,1,185.00,185.00,185.00,20000.00,3700000.00,185.00,0.00 
Multipurpose Finance Company  Limited,19,162.00,157.00,161.00,3153.00,501910.00,163.00,-2.00 
NABIL BALANCED FUND-2,29,9.94,9.68,9.85,15990.00,156472.20,9.68,0.17 
Nabil Bank Limited,1118,1147.00,1057.00,1118.00,164879.00,180793589.00,1078.00,40.00 
Nabil Equity Fund,33,9.99,9.67,9.81,94170.00,925088.88,9.80,0.01 
Nadep Laghubittiya bittya Sanstha Ltd.,195,1008.00,888.00,999.00,13278.00,12580412.00,921.00,78.00 
Narayani Development Bank Limited,5,330.00,306.00,330.00,50.00,15900.00,300.00,30.00 
National Hydro Power Company Limited,239,126.00,120.00,122.00,114237.00,13976989.00,123.00,-1.00 
National Life Insurance Co. Ltd.,542,1015.00,940.00,1009.00,131469.00,128927152.00,965.00,44.00 
National Microfinance Bittiya Sanstha Ltd.,63,1893.00,1775.00,1893.00,2039.00,3719999.00,1825.00,68.00 
Neco Insurance Co. Ltd.,871,1223.00,1090.00,1208.00,140873.00,163580670.00,1133.00,75.00 
Nepal Bangladesh Bank Limited,639,275.00,253.00,265.00,185495.00,48718423.00,262.00,3.00 
Nepal Bank Limited,924,405.00,385.00,402.00,372405.00,147664544.00,391.00,11.00 
Nepal Credit & Commercial Bank Ltd. Promoter Share,1,114.00,114.00,114.00,288000.00,32832000.00,114.00,0.00 
Nepal Credit And Commercial Bank Limited,486,298.00,275.00,290.00,173445.00,49336759.00,280.00,10.00 
Nepal Doorsanchar Comapany Limited,1172,1220.00,1111.00,1219.00,288231.00,337433718.00,1157.00,62.00 
Nepal Finance Ltd.,32,240.00,225.00,239.00,2778.00,644225.00,228.00,11.00 
Nepal Hydro Developers Ltd.,63,240.00,230.00,237.00,2112.00,498144.00,236.00,1.00 
Nepal Insurance Co. Ltd.,275,672.00,625.00,662.00,63161.00,41033274.00,625.00,37.00 
Nepal Investment Bank Limited,576,488.00,451.00,483.00,115343.00,54600769.00,468.00,15.00 
Nepal Investment Bank Ltd. Promoter Share,50,431.00,411.00,431.00,28906.00,12008116.00,415.00,16.00 
Nepal Life Insurance Co. Ltd.,2119,1900.00,1750.00,1895.00,259623.00,475972666.00,1764.00,131.00 
Nepal Reinsurance Company Limited,6940,1670.00,1420.00,1630.00,686860.00,1055759909.00,1562.00,68.00 
Nepal SBI Bank Limited,134,433.00,415.00,424.00,28907.00,12135933.00,418.00,6.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,55,825.00,785.00,825.00,2218.00,1766627.00,796.00,29.00 
Nerude Laghubita Bikas Bank Limited,183,999.00,903.00,980.00,18747.00,17806319.00,937.00,43.00 
Ngadi Group Power Ltd.,176,248.00,232.00,247.00,34391.00,8228057.00,232.00,15.00 
NIBL Pragati Fund,27,10.05,9.81,9.96,45695.00,451451.83,9.95,0.01 
NIBL Samriddhi Fund 1,28,11.22,10.72,11.22,95005.00,1033259.10,10.90,0.32 
NIC Asia Balanced Fund,5,9.86,9.67,9.75,1600.00,15548.00,9.82,-0.07 
NIC Asia Bank Ltd.,664,636.00,620.00,633.00,148276.00,93158756.00,623.00,10.00 
NIC Asia Growth Fund,20,10.52,10.15,10.31,36435.00,372828.50,10.25,0.06 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,219,1210.00,1134.00,1207.00,21002.00,24594392.00,1150.00,57.00 
NLG Insurance Company Ltd.,127,748.00,713.00,745.00,19482.00,14196693.00,716.00,29.00 
NMB  Microfinance Bittiya Sanstha Ltd.,181,1120.00,1038.00,1120.00,18249.00,20113753.00,1059.00,61.00 
NMB 50,5,10.10,9.92,10.10,2600.00,25950.00,10.10,0.00 
NMB Bank Limited,932,459.00,426.00,450.00,185378.00,82913133.00,445.00,5.00 
NMB Hybrid Fund L-1,15,9.97,9.74,9.90,70465.00,695243.97,9.89,0.01 
NRN Infrastructure and Development Limited,552,389.00,361.00,385.00,27595.00,10478660.00,376.00,9.00 
Oriental Hotels Limited,53,496.00,462.00,492.00,10000.00,4853715.00,468.00,24.00 
Panchakanya Mai Hydropower Ltd,202,141.00,130.00,139.00,7463.00,1010579.00,135.00,4.00 
Panchthar Power Compant Limited,180,232.00,213.00,229.00,8675.00,1943691.00,219.00,10.00 
Pokhara Finance Ltd.,106,201.00,188.00,201.00,7812.00,1488112.00,189.00,12.00 
Prabhu  Bank Limited,2331,345.00,320.00,345.00,759973.00,253339845.00,342.00,3.00 
Prabhu  Bank Limited Promoter Share,1,130.00,130.00,130.00,50280.00,6536400.00,128.00,2.00 
Prabhu Insurance Ltd.,208,672.00,630.00,665.00,36966.00,24010807.00,630.00,35.00 
Premier Insurance Co. Ltd.,257,880.00,835.00,877.00,27086.00,23454084.00,845.00,32.00 
Prime Commercial Bank Ltd.,678,410.00,387.00,400.00,177942.00,70648838.00,393.00,7.00 
Prime Life Insurance Company Limited,252,801.00,742.00,790.00,37675.00,29239883.00,756.00,34.00 
ProgressiveFinance Limited,38,133.00,129.00,133.00,20907.00,2731620.00,131.00,2.00 
Prudential Insurance Co. Ltd.,164,577.00,540.00,570.00,39041.00,21817052.00,550.00,20.00 
Radhi Bidyut Company Ltd,97,295.00,282.00,286.00,2937.00,856326.00,282.00,4.00 
Rairang Hydropower Development Company Ltd.,175,270.00,246.00,266.00,10740.00,2791109.00,264.00,2.00 
Rastriya Beema Company Limited,88,15350.00,14321.00,15290.00,2167.00,32261796.00,14815.00,475.00 
Rastriya Beema Company Limited Promoter Share,35,14600.00,13715.00,14600.00,1268.00,17651750.00,14000.00,600.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,731,286.00,255.00,286.00,127729.00,34917561.00,260.00,26.00 
Reliance Finance Ltd.,113,189.00,177.00,180.00,27162.00,4933975.00,178.00,2.00 
Reliance Life Insurance Limited,1377,650.00,615.00,642.00,55654.00,35336401.00,619.00,23.00 
Ridi Hydropower Development Company Ltd.,125,171.00,154.00,163.00,18914.00,3049910.00,160.00,3.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,175,940.00,882.00,940.00,25910.00,23639547.00,899.00,41.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,210,648.00,610.00,648.00,19927.00,12469792.00,613.00,35.00 
RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,1,330.00,330.00,330.00,6715.00,2215950.00,336.00,-6.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,83,942.00,867.00,920.00,1980.00,1759444.00,876.00,44.00 
Sadhana Laghubitta Bittiya Sanstha Limited,228,1057.00,1000.00,1056.00,8088.00,8392752.00,987.00,69.00 
Sagarmatha Insurance Co. Ltd.,148,1023.00,970.00,1015.00,25735.00,25848823.00,977.00,38.00 
Salt Trading Corporation,76,5619.00,4996.00,5615.00,2238.00,11944039.00,5292.00,323.00 
Samriddhi Finance Company Limited,10,141.00,137.00,139.00,2134.00,297208.00,137.00,2.00 
Samudayik Laghubitta Bittiya Sanstha Limited,69,883.00,832.00,882.00,2262.00,1936402.00,848.00,34.00 
Sana Kisan Bikas Bank Ltd,187,1741.00,1588.00,1695.00,28491.00,47865539.00,1642.00,53.00 
Sanima Bank Limited,267,324.00,311.00,319.00,61452.00,19444493.00,312.00,7.00 
Sanima Bank Limited Debenture,2,1031.00,1030.00,1031.00,50.00,51525.00,1030.00,1.00 
Sanima Equity Fund,29,11.22,10.95,11.22,121250.00,1348510.00,10.92,0.30 
Sanima General Insurance Limited,794,612.00,581.00,610.00,19650.00,11794360.00,599.00,11.00 
Sanima Mai Hydropower Ltd.,210,380.00,352.00,375.00,54399.00,20081667.00,366.00,9.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,621,258.00,231.00,258.00,80506.00,19779433.00,235.00,23.00 
Saptakoshi Development Bank Ltd,32,156.00,152.00,155.00,4868.00,750424.00,152.00,3.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,44,942.00,882.00,930.00,4361.00,4053434.00,915.00,15.00 
Shangrila Development Bank Ltd.,132,184.00,173.00,180.00,51992.00,9289920.00,176.00,4.00 
Shikhar Insurance Co. Ltd.,370,1725.00,1590.00,1670.00,53313.00,88524128.00,1635.00,35.00 
Shine Resunga Development Bank Ltd.,177,260.00,243.00,256.00,40002.00,10156402.00,251.00,5.00 
Shiva Shree Hydropower Ltd,111,158.00,152.00,157.00,31125.00,4828475.00,152.00,5.00 
SHIVAM CEMENTS LTD,1305,1280.00,1134.00,1260.00,200247.00,243623830.00,1188.00,72.00 
Shree Investment Finance Co. Ltd.,37,207.00,198.00,207.00,9673.00,1973553.00,199.00,8.00 
Siddhartha Bank Limited,501,384.00,359.00,373.00,127416.00,47075654.00,366.00,7.00 
Siddhartha Equity Fund,33,10.30,9.95,10.17,91480.00,927805.80,10.12,0.05 
Siddhartha Insurance Ltd.,106,860.00,800.00,857.00,19827.00,16348675.00,800.00,57.00 
Sindhu Bikash Bank Ltd,75,165.00,150.00,160.00,17138.00,2669972.00,156.00,4.00 
Soaltee Hotel Limited,88,210.00,201.00,207.00,32040.00,6630550.00,203.00,4.00 
Standard Chartered Bank Limited,275,655.00,635.00,655.00,35824.00,23176753.00,639.00,16.00 
Summit Laghubitta Bittiya Sanstha Limited,50,928.00,870.00,920.00,4905.00,4381988.00,880.00,40.00 
Sunrise Bank Limited,293,260.00,247.00,260.00,71324.00,18095049.00,250.00,10.00 
Sunrise First Mutual Fund,12,9.88,9.39,9.88,11600.00,109755.00,9.39,0.49 
Support Microfinance Bittiya Sanstha Ltd.,52,1019.00,940.00,1019.00,1265.00,1240343.00,952.00,67.00 
Surya Life Insurance Company Limited,393,710.00,666.00,703.00,80930.00,56041891.00,673.00,30.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,77,1113.00,1000.00,1113.00,3578.00,3746302.00,1034.00,79.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,217,1604.00,1502.00,1603.00,21645.00,34049244.00,1509.00,94.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,65,1176.00,1086.00,1175.00,1701.00,1937885.00,1100.00,75.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,91,994.00,930.00,962.00,11918.00,11423581.00,940.00,22.00 
Synergy Power Development Ltd.,155,244.00,231.00,241.00,57377.00,13632923.00,235.00,6.00 
Taragaon Regency Hotel Limited,234,342.00,311.00,336.00,44299.00,14882505.00,311.00,25.00 
Unilever Nepal Limited,3,20189.00,19794.00,20189.00,30.00,601720.00,19406.00,783.00 
Union Hydropower Limited,131,123.00,116.00,121.00,16195.00,1921940.00,119.00,2.00 
United Finance Ltd.,37,249.00,232.00,247.00,5530.00,1339383.00,235.00,12.00 
United Insurance Co. (Nepal) Ltd.,357,486.00,445.00,486.00,72536.00,34376467.00,448.00,38.00 
United Modi Hydropower Ltd.,144,168.00,156.00,163.00,49943.00,8214031.00,162.00,1.00 
UNIVERSAL POWER COMPANY LTD,307,146.00,136.00,143.00,51639.00,7146660.00,138.00,5.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,32,1170.00,1127.00,1148.00,1043.00,1197098.00,1135.00,13.00 
Upper Tamakoshi Hydropower Ltd,2181,459.00,410.00,459.00,439134.00,197383699.00,418.00,41.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,105,1110.00,1020.00,1090.00,8705.00,9220432.00,1038.00,52.00 
