Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
10% Himalayan Bank Debenture 2083,4,1030.00,1030.00,1030.00,265.00,272950.00,1040.00,-10.00 
10% Prabhu Bank Debenture 2084 ,2,1035.00,1023.00,1035.00,55.00,56625.00,1035.00,0.00 
10.25% KBL Debenture 2086,1,1030.00,1030.00,1030.00,25.00,25750.00,1035.00,-5.00 
10.25% NIC Asia Debenture 2083/84,1,1078.00,1078.00,1078.00,20.00,21560.00,1100.00,-22.00 
10.25% Sunrise Bank Debenture 2083,1,1065.00,1065.00,1065.00,15.00,15975.00,1045.00,20.00 
11% NIC Asia Debenture 082/83,1,1147.00,1147.00,1147.00,25.00,28675.00,1125.00,22.00 
Agriculture Development Bank Limited,520,533.00,510.00,532.00,131127.00,68454221.00,517.00,15.00 
Ajod Insurance Limited,753,672.00,620.00,670.00,48836.00,31925153.00,627.00,43.00 
Ankhu Khola Jalvidhyut Company Ltd,220,142.00,127.00,140.00,15248.00,2038318.00,134.00,6.00 
Api Power Company Ltd.,360,250.00,230.00,244.00,97896.00,23705624.00,241.00,3.00 
Arun Kabeli Power Ltd.,265,266.00,255.00,264.00,94733.00,24709620.00,258.00,6.00 
Arun Valley Hydropower Development Co. Ltd.,234,252.00,234.00,252.00,104083.00,24672386.00,236.00,16.00 
Asha Laghubitta Bittiya Sanstha Ltd,144,905.00,850.00,905.00,6050.00,5326366.00,850.00,55.00 
Asian Life Insurance Co. Limited,268,880.00,814.00,875.00,53337.00,45802758.00,829.00,46.00 
Bank of Kathmandu Limited Promoter Share,1,147.00,147.00,147.00,12631.00,1856757.00,147.00,0.00 
Bank of Kathmandu Ltd.,296,261.00,247.00,253.00,89594.00,22588031.00,252.00,1.00 
Barun Hydropower Co. Ltd.,139,202.00,186.00,198.00,23339.00,4472222.00,187.00,11.00 
Best Finance Company Ltd.,38,137.00,132.00,136.00,7562.00,1011855.00,135.00,1.00 
Bishal Bazar Company Limited,46,3183.00,2838.00,3183.00,1087.00,3323702.00,2895.00,288.00 
Bottlers Nepal (Terai) Limited,19,9051.00,8640.00,9050.00,465.00,4135130.00,8800.00,250.00 
Butwal Power Company Limited,388,468.00,438.00,460.00,62035.00,28069779.00,450.00,10.00 
Central Finance Co. Ltd.,46,166.00,157.00,165.00,12251.00,1972756.00,159.00,6.00 
Century Commercial Bank Ltd.,524,209.00,198.00,207.00,157915.00,32335842.00,202.00,5.00 
Century Commercial Bank Ltd. Promoter Share,1,112.00,112.00,112.00,21754.00,2436448.00,112.00,0.00 
Chhimek Laghubitta Bikas Bank Limited,563,1480.00,1363.00,1448.00,71154.00,101470382.00,1400.00,48.00 
Chhyangdi Hydropower Ltd.,66,159.00,151.00,157.00,4227.00,651992.00,153.00,4.00 
Chilime Hydropower Company Limited,439,643.00,587.00,641.00,87073.00,53998806.00,610.00,31.00 
Citizen Bank International Limited,416,242.00,230.00,236.00,99683.00,23391133.00,231.00,5.00 
Citizen Investment Trust,364,4837.00,4550.00,4784.00,17525.00,82421980.00,4601.00,183.00 
Citizens Mutual Fund -1,21,9.85,9.63,9.82,107450.00,1053560.00,9.82,0.00 
CITIZENS MUTUAL FUND 2,15,9.90,9.40,9.90,7050.00,67350.50,9.56,0.34 
Civil Bank Ltd,392,188.00,177.00,180.00,153476.00,27615575.00,181.00,-1.00 
Civil Laghubitta Bittiya Sanstha Ltd.,118,755.00,710.00,751.00,9473.00,7031085.00,738.00,13.00 
Corporate Development Bank Limited,22,221.00,208.00,217.00,3889.00,840454.00,217.00,0.00 
Deprosc Laghubitta Bittiya Sanstha Limited,845,1377.00,1231.00,1369.00,95755.00,126492818.00,1287.00,82.00 
Dibyashwori Hydropower Ltd.,96,118.00,114.00,117.00,11307.00,1307994.00,115.00,2.00 
Everest Bank Limited,310,705.00,677.00,702.00,58068.00,40127110.00,684.00,18.00 
Everest Bank Limited Con. Pref.,2,635.00,635.00,635.00,39.00,24765.00,647.00,-12.00 
Everest Insurance Co. Ltd.,186,579.00,531.00,575.00,34996.00,19619653.00,541.00,34.00 
Everest Insurance Co. Ltd. Promoter Share,9,295.00,280.00,280.00,3245.00,923362.00,300.00,-20.00 
Excel Development Bank Ltd.,28,351.00,342.00,349.00,4337.00,1512265.00,354.00,-5.00 
First Micro Finance Development Bank Ltd.,163,612.00,579.00,601.00,32382.00,19324906.00,582.00,19.00 
